	Line	Name	Lat/Lon	Order
0	L4	Jaume I	41.3841228723178 , 2.17858081953018	11
1	L4	Passeig de Gràcia	41.3900737321142 , 2.16786323763842	13
2	L4	Verdaguer	41.4003552658023 , 2.16811691027426	15
3	L4	Urquinaona	41.3879871698261 , 2.17345868287655	12
4	L4	Girona	41.3949667171971 , 2.1708457952076	14
5	L4	Barceloneta	41.3818891152973 , 2.18489341522917	10
6	L4	Ciutadella Vila Olímpica	41.3867239899615 , 2.19300720217757	9
7	L4	Bogatell	41.3951337619307 , 2.19201295462194	8
8	L4	Llacuna	41.3994321319653 , 2.19769012625739	7
9	L4	Joanic	41.4064269836309 , 2.16322187660929	16
10	L4	Alfons X	41.4124274518153 , 2.16643944352259	17
11	L4	Guinardó | Hospital de Sant Pau	41.4160129419915 , 2.17400701425785	18
12	L4	Maragall	41.4231194304848 , 2.17740854790596	19
13	L4	Llucmajor	41.4370677708048 , 2.17341123988904	20
14	L4	Via Júlia	41.443872126503 , 2.1786024624582	21
15	L4	Trinitat Nova	41.4492032471838 , 2.18241629083912	22
16	L4	Poblenou	41.4037236975489 , 2.20335092282408	6
17	L4	Selva de Mar	41.4080885355949 , 2.20920449021996	5
18	L4	El Maresme | Fórum	41.4118270413406 , 2.21672409917827	4
19	L4	Besòs Mar	41.415132745723 , 2.21609189178864	3
20	L4	La Pau	41.423680905925 , 2.20524346203814	1
21	L4	Besòs	41.4199054057797 , 2.21027029188204	2
