	Line	Name	Lat/Lon	Order
0	L1	Hospital de Bellvitge	41.3447089189291 , 2.10726442487254	1
1	L1	Bellvitge	41.351002103227 , 2.11093265881712	2
2	L1	Av.Carrilet	41.3585530196421 , 2.10266580260399	3
3	L1	Rbla. Just Oliveres	41.3641197960023 , 2.09977453332527	4
4	L1	Can Serra	41.3677230761094 , 2.10277664046037	5
5	L1	Florida	41.3683454383485 , 2.11001897049028	6
6	L1	Torrassa	41.3684250526322 , 2.11662439227314	7
7	L1	Santa Eulàlia	41.3688492313307 , 2.12864100990867	8
8	L1	Mercat Nou	41.3733346013228 , 2.13381942920113	9
9	L1	Plaça de Sants	41.3753819450694 , 2.13817096385347	10
10	L1	Hostafrancs	41.3752823216963 , 2.14331481108942	11
11	L1	Espanya	41.375541990375 , 2.14940637505904	12
12	L1	Rocafort	41.379268210643 , 2.15458880966092	13
13	L1	Urgell	41.3825190435109 , 2.15891098529247	14
14	L1	Universitat	41.3858268159287 , 2.16429773978502	15
15	L1	Catalunya	41.3875748996741 , 2.16917178913172	16
16	L1	Urquinaona	41.3896771578975 , 2.17458027903158	17
17	L1	Arc de Triomf	41.3923576815825 , 2.18114567601345	18
18	L1	Marina	41.3947589060179 , 2.18581564614182	19
19	L1	Glòries	41.4023637999479 , 2.18756003700547	20
20	L1	Clot	41.4101947574477 , 2.18701789252361	21
21	L1	Navas	41.4162576633657 , 2.18705891004563	22
22	L1	La Sagrera	41.4224489394887 , 2.18698698748017	23
23	L1	Fabra i Puig	41.4296919347651 , 2.18366333165997	24
24	L1	Sant Andreu	41.4366600602109 , 2.19120189357876	25
25	L1	Torres i Bages	41.4432435844691 , 2.19071074785519	26
26	L1	Trinitat Vella	41.4490032874062 , 2.19388362741804	27
27	L1	Baró de Viver	41.4499647103183 , 2.19957936831323	28
28	L1	Santa Coloma	41.4510968572408 , 2.20799089718003	29
29	L1	Fondo	41.4516133714008 , 2.21847567034432	30
