district,id,value
01,01,0.028321973750915337
01,02,0.028321973750915337
01,03,0.0283219737509153
01,04,0.0283219737509153
02,05,0.3961268512003844
02,06,0.3961268512003844
02,07,0.3961268512003844
02,08,0.3961268512003844
02,09,0.3961268512003844
02,10,0.3961268512003844
03,11,0.23198653835246072
03,12,0.23198653835246072
03,13,0.23198653835246072
03,14,0.23198653835246072
03,15,0.23198653835246072
03,16,0.23198653835246072
03,17,0.23198653835246072
03,18,0.23198653835246072
04,19,0.40482301508955015
04,20,0.40482301508955015
04,21,0.40482301508955015
05,22,0.4956396890270266
05,23,0.4956396890270266
05,24,0.4956396890270266
05,25,0.4956396890270266
05,26,0.4956396890270266
05,27,0.4956396890270266
06,28,0.39887139605462824
06,29,0.39887139605462824
06,30,0.39887139605462824
06,31,0.39887139605462824
06,32,0.39887139605462824
07,33,0.22087513839509823
07,34,0.22087513839509823
07,35,0.22087513839509823
07,36,0.22087513839509823
07,37,0.22087513839509823
07,38,0.22087513839509823
07,39,0.22087513839509823
07,40,0.22087513839509823
07,41,0.22087513839509823
07,42,0.22087513839509823
07,43,0.22087513839509823
08,44,0.12400629231158179
08,45,0.12400629231158179
08,46,0.12400629231158179
08,47,0.12400629231158179
08,48,0.12400629231158179
08,49,0.12400629231158179
08,50,0.12400629231158179
08,51,0.12400629231158179
08,52,0.12400629231158179
08,53,0.12400629231158179
08,54,0.12400629231158179
08,55,0.12400629231158179
08,56,0.12400629231158179
09,57,0.20383134477349432
09,58,0.20383134477349432
09,59,0.20383134477349432
09,60,0.20383134477349432
09,61,0.20383134477349432
09,62,0.20383134477349432
09,63,0.20383134477349432
10,64,0.2407706736909323
10,65,0.2407706736909323
10,66,0.2407706736909323
10,67,0.2407706736909323
10,68,0.2407706736909323
10,69,0.2407706736909323
10,70,0.2407706736909323
10,71,0.2407706736909323
10,72,0.2407706736909323
10,73,0.2407706736909323
