district_id,neighborhood_id,value
01,01,75.83265330173725
01,02,108.54196000974969
01,03,76.5587021979904
01,04,96.36108549166667
02,05,104.81599743850074
02,06,95.77229724318454
02,07,165.76124954979855
02,08,128.91772197322086
02,09,103.80056124622809
02,10,98.64045775728313
03,11,74.33742517068823
03,12,36.944694084038716
03,13,70.37218374675285
03,14,83.22737557111361
03,15,82.19773729996436
03,16,74.2661523090415
03,17,77.02762267811954
03,18,88.18070492649838
04,19,124.45724437978485
04,20,109.88149289974322
04,21,250.45592004889144
05,22,151.68435751113554
05,23,199.0731844196219
05,24,214.080276141486
05,25,188.91816313504657
05,26,205.05530112501447
05,27,141.0184346057445
06,28,111.16626156430924
06,29,88.95899518833426
06,30,114.42290950172632
06,31,106.2693718976974
06,32,103.04081113562214
07,33,90.41862540435787
07,34,88.09079268490609
07,35,82.71370060485125
07,36,95.17309465798706
07,37,56.89704594534854
07,38,74.4731479287355
07,39,93.50579879233865
07,40,72.28333223257425
07,41,92.55203683945801
07,42,89.26070738954118
07,43,80.91726496691943
08,44,64.97482975623635
08,45,61.42564228278133
08,46,48.839527608807735
08,47,51.05386597822334
08,48,55.85041175618682
08,49,55.61873793140555
08,50,47.830798580170864
08,51,55.36230778262757
08,52,54.0476908434248
08,53,35.645908931673716
08,54,47.06984439497173
08,55,34.49994490932145
08,56,37.836139247750445
09,57,43.08850300819323
09,58,60.158977851926494
09,59,57.96549204233611
09,60,75.59907239739961
09,61,76.80495624577793
09,62,70.1029072390601
09,63,85.82304192164472
10,64,78.70100148930081
10,65,84.67078859613082
10,66,96.78349110806873
10,67,150.22302375565238
10,68,95.57727645777608
10,69,162.50153601416974
10,70,54.413710310816974
10,71,102.75391133342822
10,72,68.34608780236164
10,73,57.46960731295994
