district,id,#bars,#bars/1000hab,value
01,01,322,6.832311315750387,6.832311315750387
01,02,237,15.17868579479954,15.17868579479954
01,03,51,3.395246654683443,3.395246654683443
01,04,236,10.58011297408769,10.58011297408769
02,05,105,3.31722111648185,3.31722111648185
02,06,167,3.2539651611394724,3.2539651611394724
02,07,188,4.307579506919622,4.307579506919622
02,08,167,3.990060687150571,3.990060687150571
02,09,187,3.2438245906189285,3.2438245906189285
02,10,260,6.80913471611146,6.80913471611146
03,11,178,4.443889651728873,4.443889651728873
03,12,5,4.374453193350831,4.374453193350831
03,13,60,1.9746585486259667,1.9746585486259667
03,14,22,2.1355076684139003,2.1355076684139003
03,15,38,2.3915916671911384,2.3915916671911384
03,16,17,0.918323249783924,0.918323249783924
03,17,23,0.9621015644608049,0.9621015644608049
03,18,63,1.5446855461566753,1.5446855461566753
04,19,98,2.133588783418967,2.133588783418967
04,20,50,2.096611875209661,2.096611875209661
04,21,5,0.42151407857022427,0.42151407857022427
05,22,3,0.6476683937823834,0.6476683937823834
05,23,35,1.4113472317432154,1.4113472317432154
05,24,10,0.607053967097675,0.607053967097675
05,25,37,1.4416520553282681,1.4416520553282681
05,26,139,2.9518571216207605,2.9518571216207605
05,27,42,1.430128030509398,1.430128030509398
06,28,18,1.1545122185876466,1.1545122185876466
06,29,6,0.8117981328642944,0.8117981328642944
06,30,25,1.9057783198658331,1.9057783198658331
06,31,267,5.2783488850229325,5.2783488850229325
06,32,72,2.103172284863002,2.103172284863002
07,33,66,2.5834735976827026,2.5834735976827026
07,34,5,0.5577244841048522,0.5577244841048522
07,35,88,2.4352446313925173,2.4352446313925173
07,36,11,1.1702127659574468,1.1702127659574468
07,37,75,2.3919630043055333,2.3919630043055333
07,38,12,1.0641127959563714,1.0641127959563714
07,39,13,1.933085501858736,1.933085501858736
07,40,8,1.583217890362161,1.583217890362161
07,41,4,0.7034822370735139,0.7034822370735139
07,42,1,1.7152658662092624,1.7152658662092624
07,43,62,2.3360084397724274,2.3360084397724274
08,44,70,2.74423710208562,2.74423710208562
08,45,74,3.01806762102859,3.01806762102859
08,46,27,1.7573548555063785,1.7573548555063785
08,47,2,0.8857395925597874,0.8857395925597874
08,48,31,2.060759157083029,2.060759157083029
08,49,17,2.455582839809331,2.455582839809331
08,50,35,2.273022470450708,2.273022470450708
08,51,46,3.7520391517128875,3.7520391517128875
08,52,112,4.280200252226086,4.280200252226086
08,53,6,0.8267879288962381,0.8267879288962381
08,54,0,0.0,0.0
08,55,14,1.3942834379045912,1.3942834379045912
08,56,2,1.4792899408284024,1.4792899408284024
09,57,18,1.7942583732057416,1.7942583732057416
09,58,5,1.9944156362185879,1.9944156362185879
09,59,36,2.859639367701962,2.859639367701962
09,60,123,2.169962775435316,2.169962775435316
09,61,74,2.5698013613001804,2.5698013613001804
09,62,48,3.417829678154372,3.417829678154372
09,63,62,2.8079710144927534,2.8079710144927534
10,64,137,3.5954230526978797,3.5954230526978797
10,65,95,3.5318611049148636,3.5318611049148636
10,66,94,6.335085591050007,6.335085591050007
10,67,29,3.1065881092662027,3.1065881092662027
10,68,186,5.53802179479545,5.53802179479545
10,69,57,4.254683884451743,4.254683884451743
10,70,55,2.418007561769102,2.418007561769102
10,71,57,2.7983700721684914,2.7983700721684914
10,72,65,2.499038831218762,2.499038831218762
10,73,85,2.9673590504451037,2.9673590504451037
