ID,PRICE(€),SIZE(m^2)
38865716,1050,78
38864791,1100,65
38864098,1500,72
34983390,2100,91
38859743,1440,73
38858876,2200,110
38857174,1150,70
38854710,1050,75
38854570,1600,105
38851074,2650,160
38851079,1300,85
38840590,1600,105
38839909,1300,80
38838435,1440,81
38522057,995,73
38807305,2200,130
38786525,1600,80
38776082,1800,100
38570773,2650,160
38784702,1275,82
38774690,1240,90
38338496,2895,250
38802668,2200,110
38787234,1100,55
31992600,1300,80
38777205,1300,65
38733408,975,58
38576661,2900,160
38531021,2400,138
35513494,1750,50
34802297,1650,50
34770006,1950,65
38613948,1500,115
38523766,1400,116
38770385,1395,122
38571810,595,39
37535164,2200,130
38829073,690,42
38796436,700,42
38745926,2200,132
38765636,1050,70
35821685,1200,74
37168501,2490,141
38693533,1500,150
37478641,2200,130
38762747,1300,70
38699336,1650,75
34770002,1750,45
38758308,2200,130
38758748,675,45
36944293,2500,85
37483845,2200,120
38758761,1000,70
37667894,1751,112
38734645,3000,240
37206101,1200,96
36934447,1500,90
38773674,700,47
38300162,1390,90
38540681,2400,102
38468670,1400,85
38040787,1050,75
32954828,1250,55
