ID,PRICE(€),SIZE(m^2)
38786437,1100,70
38477454,1490,105
38783351,850,80
37541491,3000,125
38764795,1100,76
26563910,1190,99
38532560,1030,78
38092970,1500,85
37934184,1875,105
38744365,1200,106
38726092,1200,112
38297049,1000,80
37464735,1300,110
37787024,3500,136
35041975,1300,80
38694361,845,50
38568273,1480,111
38389824,1300,100
38193094,850,76
991882,990,75
30724485,700,67
38257244,1200,100
38143791,900,78
38508721,850,58
38367119,900,88
37299859,800,72
36998235,955,74
30833113,850,90
38372940,1490,110
33603012,2200,80
