ID,PRICE(€),SIZE(m^2)
38863572,1650,95
38791704,950,70
38865531,1850,77
38774126,1250,70
38864145,1100,60
37788498,1850,128
38862209,1500,90
38578784,1280,72
38858855,2000,140
36010462,2000,90
38857335,765,50
38520390,1250,95
38854602,1500,103
38852545,1850,80
38851722,1490,80
38848897,1200,68
38843520,1200,65
38841312,2600,185
38838181,1650,75
26535507,850,45
38836833,1300,67
38835616,700,35
38801334,1650,73
37089787,2150,120
34178963,1275,55
38746341,1050,70
38689855,1050,65
38602138,1000,65
38277124,1600,60
38796318,940,65
38446605,1150,93
38258212,1650,75
38618651,1399,60
38823374,2600,220
38817317,2300,157
37074356,1500,117
38794870,1300,107
38762599,1700,180
38679311,2300,140
38783891,3200,210
38776606,1200,47
38576328,1650,75
38522441,2399,185
38330389,1500,150
27128142,1400,50
38796284,1700,180
38781529,1300,75
38400357,1990,98
37967717,2500,150
38816889,995,58
38820304,1300,91
37912845,1400,65
38743199,1900,110
38540051,1050,70
38822974,750,55
38771187,1200,40
38731343,1900,60
38696928,2600,65
37977526,2600,185
37925547,1250,60
37813108,1400,99
38828996,2150,122
38828420,1750,80
38762431,1750,60
38643747,1200,80
38535958,1400,110
38457616,2600,185
38104309,2600,135
27073209,1190,105
30006910,2500,80
30006467,2500,80
29939341,2500,80
38799762,1300,107
38337450,1350,75
38321563,2500,140
33814891,3000,100
31373429,1500,60
38826069,1700,130
38802436,2500,96
38802127,1750,100
38626300,950,55
38441480,2900,65
36451661,950,35
37027167,1600,90
38788368,1500,80
38765378,575,25
38324563,2900,223
37959741,1600,85
37912902,1800,60
31642249,2500,80
29939325,2500,80
26742337,2500,80
38829734,1400,91
38820487,1600,160
38789153,2400,157
37634024,1100,55
38763942,2400,160
38374982,1300,100
37117836,1200,50
35552254,975,42
38748769,750,47
38651862,1750,100
38651856,1850,128
38540464,15000,550
38485797,1650,95
38156758,1850,128
38768473,1200,77
38763261,1200,93
38740810,1150,50
37519422,2500,135
38783976,1200,65
38657248,1050,50
31653895,2300,80
31653835,2300,80
33778815,1150,50
38705577,1400,91
38477833,1370,102
38331623,1400,55
38081021,1075,62
38832066,1700,90
38808881,1100,90
38744163,1500,120
38388065,2500,89
38281771,1100,77
38165287,2850,100
38162107,1150,55
37614098,3000,60
37098574,2500,188
28916050,1400,55
29082439,1130,49
38696932,1700,132
38689998,1850,87
38512205,1650,128
38498534,1700,85
38350875,1465,58
38801998,1400,90
38494437,1600,65
34366071,2500,150
37929733,1525,76
37089869,1500,80
34938306,2100,52
28915994,1600,105
38809570,1500,80
38682303,1100,60
38658036,1750,70
25077227,2500,80
25077205,2500,80
38711496,1250,95
38687289,2500,100
38100285,2400,185
36708136,1250,52
38693082,3200,250
35832202,1300,60
37947275,2500,130
34030717,900,25
38247690,1400,115
34364762,1200,26
31642319,2500,80
38819197,750,25
38740795,1200,90
38731428,1500,100
38726487,800,36
38713328,1500,94
38684922,1650,60
38667471,975,58
38540055,2000,180
38421355,1500,88
32131108,2400,100
38816831,1750,100
38816367,1550,125
38768845,1750,65
38759856,1250,75
38724952,1600,84
37702215,1300,72
38695955,1700,85
35865470,950,50
38471596,1100,70
38513619,2050,125
36143045,3200,70
2010582,1890,65
38657777,1200,100
38695545,1300,80
38563636,970,70
38423187,2500,120
38423118,2500,120
36889780,1300,68
38357558,2850,127
38183194,1300,47
37991918,1300,50
37689560,2850,150
37519370,2500,90
35584493,2400,185
36594866,1070,17
36594864,990,28
36594863,1320,15
35453311,2590,110
31430573,1975,65
29798348,1650,108
27940688,3300,78
38514241,1750,70
38488182,1160,100
38366803,2600,140
38341208,1190,75
37931931,850,50
38629907,1500,118
36594865,950,19
38834308,1300,120
38775308,950,70
26738790,695,40
38660117,950,61
36847212,950,54
38280239,1750,130
38318841,975,50
32514472,1130,50
37989011,1900,165
38283258,1500,110
38072330,800,82
38608605,1195,70
36782587,3000,85
38184442,1750,120
25092755,850,50
38726860,1200,110
32953229,2500,155
37847008,1100,60
36838432,3900,145
38551926,800,55
37688823,1050,73
28673676,975,70
38249383,1500,103
38249472,1500,103
