ID,PRICE(€),SIZE(m^2)
38865517,3500,209
33724126,2500,210
38862598,2200,92
38823878,2500,145
38861792,4500,240
38602518,6900,320
38861611,3400,170
31653582,3500,180
38861488,2000,150
38860903,3100,250
38860901,3600,270
38859251,4500,220
38859249,3400,160
38859236,2200,115
38852130,2500,200
38849401,2000,76
38849267,2700,180
38848678,2000,83
38847537,2750,190
38846606,3100,200
38844725,2500,120
38841337,2000,85
38837108,1590,85
37745117,1900,120
38772568,1500,127
38818491,2850,135
38727345,4500,213
38705224,3400,155
35861349,2000,140
36600755,2100,130
38828276,3400,97
35065716,4500,200
37766178,3400,156
33518756,1690,115
32953314,2400,200
38824503,2500,139
38810982,3300,226
38698418,2650,150
37590353,1300,70
38829233,2200,130
38691733,2100,160
38547846,1800,100
38382057,2250,125
38310659,2250,125
38721564,3800,240
38546197,2200,95
38802069,1590,80
38708267,2000,114
37814317,2200,130
37508913,3300,250
34595148,1950,120
38539019,1300,87
38783924,2200,96
38606827,3100,310
38572140,2200,92
37997095,1500,95
38484784,1900,100
37724851,4500,197
31641899,3500,180
38741251,4500,203
35846746,2000,135
38309138,4500,220
37667872,2500,135
38770452,3400,85
38767101,1900,80
38744794,2000,115
38744793,4600,230
38692014,1500,92
35858944,2000,120
29763242,3200,190
38517268,6900,340
37992485,3400,150
27655878,2200,105
37114586,3200,149
38656471,1200,115
38166088,3400,155
31169778,5200,300
28799689,1800,90
38471270,2200,110
35855279,2000,120
38026251,3400,154
36627586,2000,65
37951586,2200,92
38694554,4500,201
38424447,5200,267
38317706,4500,200
37988178,3400,155
37900446,3400,170
35064919,4500,200
37659516,5200,300
37298950,5700,215
36412350,6500,334
38725043,2000,160
38725009,4500,201
38817380,2000,83
33144401,1700,110
28427914,2200,91
38816434,3100,170
38537371,1800,91
38514773,2500,160
38728943,3100,220
37067936,18000,600
38817451,2500,140
38607093,3100,250
38390613,5200,300
38296273,4500,300
38373516,2000,140
37763203,3400,171
37898861,2200,94
33987635,1590,90
38460447,3100,220
38354343,2500,140
31653185,3500,180
38798557,1590,85
38748376,2000,171
36551902,2900,260
35060122,4500,250
35035856,4500,250
38683671,2200,89
38623996,1900,76
34805991,800,45
38346448,4500,200
38148699,2500,160
37995164,2200,91
37901293,2700,171
37746608,3400,156
37616780,2650,200
37615470,2800,165
28539828,1800,120
38757794,4500,250
38742448,3400,152
38694805,3400,154
35858757,2000,135
37892766,2200,92
37945224,2200,70
38469938,3900,130
38279778,3400,180
37932577,2600,130
38740658,2650,150
34099554,1590,92
38453920,3600,340
30482409,2200,110
38756339,2700,180
38702219,2400,172
37997678,2200,73
38748384,3800,230
38688742,1500,100
38516328,1800,100
1295634,1800,120
38116323,2200,90
38085451,2200,90
37980099,2200,91
37233396,2100,144
