ID,PRICE(€),SIZE(m^2)
38853911,1350,55
38847271,1150,52
38836056,1150,70
36292096,1650,103
38804216,1200,75
38804752,1500,60
38788278,1300,101
38804050,1000,45
37848139,2000,160
37710109,1200,88
32143672,2000,90
38106073,1095,70
38459890,2000,160
38762997,1300,101
38744430,1300,101
38795602,2000,160
38763486,1150,55
38535327,1100,115
38338705,750,69
35933931,1750,120
38613942,1300,59
38793218,750,55
38760061,700,55
33002575,900,65
38491220,1125,98
37929692,1000,95
29343498,900,45
38093074,700,50
38360410,1100,95
