ID,PRICE(€),SIZE(m^2)
38864303,1300,100
38861380,990,50
38858087,900,90
38856881,900,88
38847542,2000,210
38841455,1350,51
38783848,775,65
38532110,1200,120
38824982,1200,140
38640862,1100,95
38640293,980,90
25351181,1100,95
38155257,1400,98
38821922,990,75
38815225,790,60
38804048,825,73
38828168,1100,45
38107861,2200,225
38106893,2000,215
38782053,1350,47
38163768,1300,105
35976927,1800,100
38759082,850,60
38760894,900,77
38196844,900,175
38426746,1000,75
38795961,900,86
35141746,800,140
38530253,1100,88
38334038,915,56
37958605,915,60
38456243,750,46
38445610,1150,76
38091797,1150,70
37664229,900,55
38451750,850,55
37514312,950,56
