ID,PRICE(€),SIZE(m^2)
38815290,1050,60
35639321,2400,120
38814322,2950,167
38321847,1550,50
38800909,3100,200
38745312,4000,240
38813889,1600,95
36154901,2800,160
38813694,1800,100
30359476,2950,150
38809451,1800,85
38751370,1300,60
38809435,2950,167
38759207,3700,185
38809419,1800,77
38658781,12500,300
38747822,1300,80
38724631,2400,130
38807279,2300,145
38483338,2275,185
36935891,1100,74
38182273,3500,120
36874254,15000,460
38077455,2300,85
38804123,850,45
36944944,2300,85
33052479,1150,85
38741900,6500,315
38802820,2400,215
38724956,4200,167
38791089,1500,75
38374983,2400,225
38801782,1600,110
38135731,2500,200
38800445,1000,66
37597540,2900,140
38799499,1390,90
37487486,4250,150
38798689,1200,60
37479766,4900,220
26643528,1100,45
37350598,2190,140
38797160,2950,140
37341095,5700,209
38796588,950,45
37260327,2500,85
38796539,1000,37
38089195,1800,80
38795841,1100,60
38567713,2200,150
38795589,3000,180
38470301,2100,140
38794559,1500,110
38255396,2450,144
38793465,2950,133
38162101,2500,85
38791869,2800,170
38077468,3800,180
38790083,1250,65
37689547,2400,129
38790449,2500,110
29591613,1800,105
38788934,1800,80
37559984,2400,129
38788743,1300,98
34082285,2150,65
38788336,975,41
35237262,2500,180
38788203,3000,190
38788007,2500,85
38787994,2500,80
38787851,1000,35
28909328,1000,69
38784468,1800,85
38771683,750,30
38781549,1650,83
38455851,3900,278
25143829,1800,90
36696614,1250,130
33612387,2700,195
29079694,2500,140
36927050,2500,296
38759241,2400,115
37669705,4000,295
37562425,1800,129
38732047,4000,240
38691607,1200,104
38455918,2900,100
38229661,1400,105
38168922,2500,150
37605011,2300,175
38763376,3000,180
37667869,4250,277
38764675,1850,175
38352710,7500,300
38746751,1695,120
38575223,1400,80
37722762,1000,60
38442775,1950,50
38768849,3500,201
38767594,3900,260
38763877,3500,185
35157735,3000,180
38741534,4000,233
38731342,2150,80
37947051,1995,156
37695039,3600,160
38729861,1300,70
38548027,3200,190
38301973,4500,220
32044364,4500,200
38620375,2500,94
38609613,2600,155
38315250,1650,120
38758831,2600,196
38731467,1350,96
38703612,1000,65
38694461,1950,130
34729487,5088,290
38538717,1650,75
38522044,1700,150
38504815,3600,397
28330630,2000,130
38488104,2300,158
38344031,3000,205
38642382,1100,90
38278233,2500,180
38266432,3200,200
37937175,7500,270
28354471,1400,75
38560975,1640,109
38545941,1150,80
38543163,2400,185
38534255,2500,95
38488266,5235,80
38474862,2700,170
38366355,4800,290
36044989,3200,160
28629664,2600,220
38735687,1550,65
38236185,2200,85
35667493,1200,70
38735221,2800,169
38732087,1775,103
38680431,1571,78
38588463,2200,160
38556369,1350,121
38771606,3000,180
38403017,2200,130
38340759,1995,150
38041162,3400,180
37675836,2300,125
37664911,4000,295
37421424,1200,81
37184400,2700,180
37181608,3990,250
34075973,3100,200
36824521,3000,175
36705838,1600,140
36093304,3200,175
36071537,3000,180
34758538,2800,246
35294510,1500,90
38648820,4250,167
38548337,2500,170
38534411,1950,121
38471460,1300,70
38235277,1750,135
36957467,2300,156
38462625,2200,105
38444287,2900,210
38425764,2300,156
38370078,4135,80
38369103,2264,60
31400751,1150,74
37799831,1400,96
38741456,2500,185
37790052,1900,65
38758635,1100,55
38744268,1000,67
38484149,2700,175
38242367,3900,240
38168952,1990,185
38112083,2200,145
36798442,2800,240
30009758,3200,140
35837302,1000,50
38571993,1400,95
33027886,1850,60
38222997,890,55
37934686,1600,125
29509572,4500,250
38755610,1750,60
38738617,1850,98
38340564,2400,218
38335171,1700,55
38151931,4500,280
25643565,1900,150
37727907,2800,225
37614906,1700,148
28229385,1650,120
37535702,3400,210
37300241,3200,180
38693145,3100,180
38688749,1300,89
25141668,1800,85
38630654,2200,75
38605530,3800,210
38593855,8000,250
38557095,900,65
31577561,8000,270
38474858,1000,55
38126284,3600,300
38071347,1600,65
37317034,3500,211
36451297,2900,160
36372908,3000,165
36925406,2300,95
37195381,2500,95
38301847,1400,100
38156160,4000,230
38070482,3500,216
37882043,3080,215
37803873,2300,85
37753011,1700,141
36881393,3600,230
36485347,3500,210
36469458,3500,235
38741769,995,59
38729682,1290,75
38679959,1500,100
38679813,1250,90
38457348,1600,114
38123170,1900,197
38744331,1200,70
38732811,1100,103
38535791,1800,108
38316339,1950,105
38227221,10000,697
38049424,1850,160
37994205,950,62
36466356,3200,170
38696864,1400,93
38535478,2500,95
38511707,1400,100
38484863,2550,99
38442999,2050,145
38302658,1000,49
38660793,1575,90
38650578,900,60
38615132,1075,75
38455174,4800,240
38406803,2500,185
38398418,1300,98
38374974,3600,331
38152298,4000,226
38138286,2500,90
38092293,2300,80
38089196,2500,197
38088045,2800,160
38077466,2700,170
38048070,3600,215
38020996,2800,175
37979043,1950,130
37708905,4000,250
37614094,3500,198
37519369,4900,217
37507098,2400,140
37505714,1175,81
37393222,5700,215
37346807,5700,206
37182459,1500,90
36936704,2300,85
36863215,6000,260
36686832,2900,175
31499067,15000,450
36483241,2700,160
36478182,3200,175
36334886,2700,165
36245064,2700,180
36165105,13500,600
35687779,3500,130
35203920,3000,75
35024917,4000,190
34897453,2700,165
33530584,2900,210
33210876,15000,450
31943900,10000,520
38729670,2800,240
38713493,1200,34
38621487,1400,90
38616267,1600,100
38562722,1950,90
38489781,2500,110
38167985,1200,90
31223983,1900,80
31223546,1900,80
30009870,1900,80
30009804,1900,80
30009704,1700,70
38247234,1500,108
37167102,3300,202
36408199,1528,90
38776077,750,40
38729233,1000,45
38728997,1150,40
38726058,1100,70
38672683,2000,168
38658874,1000,50
34313313,1950,110
37993981,1400,92
28110519,1200,85
32891820,7000,140
25077711,3200,140
25078367,1900,80
25077702,3200,140
25077688,1700,70
25077663,1700,70
25077583,1700,80
25077573,1900,80
25077569,1900,80
25076601,1700,70
25077297,1900,80
38644114,2400,150
38522346,2500,170
38323606,3800,120
38311107,750,45
38301633,2700,175
37942314,1000,80
31107411,1700,120
37549773,5100,270
37510835,7400,550
37481639,2400,130
38729747,1000,50
30808439,4500,175
29630263,2500,160
38529987,1000,40
38488533,7500,175
32966556,3300,280
38767747,3000,180
38675662,1400,88
38466357,2350,127
38424617,1500,107
30446808,2950,150
38346197,2400,135
38318849,2950,150
38159720,3500,200
29290184,1700,96
37761499,15000,450
37237777,5700,220
37170237,2800,160
36089106,3200,150
35804210,1571,99
31642471,1900,80
31642464,1900,85
29834889,3200,140
29834849,1700,70
29115034,6000,400
26742291,1900,80
38694792,2300,190
38645713,2100,80
32131032,1100,50
38549755,2500,138
38520095,1850,133
38483758,1000,58
38560478,1850,80
38254507,4295,210
37487751,5700,205
37162472,5700,205
36740427,1590,34
35355951,2700,120
32131010,1650,80
32131093,2400,90
32131009,1650,80
25077311,1900,80
38677695,1100,50
38670458,1200,60
38652228,1571,59
38651615,1600,110
38641312,2300,120
29530859,3400,186
38526643,3800,210
38521009,1000,50
38508621,1571,66
38479869,2500,135
38468238,2500,135
38082605,2350,121
36139974,2900,160
38425037,3800,215
38351121,1400,100
38282223,2950,150
38164610,2300,85
38164605,2300,85
