ID,PRICE(€),SIZE(m^2)
38865545,1000,70
38838962,1200,98
38865093,990,69
38863601,1250,71
38855304,950,72
38854610,900,30
38854162,990,69
38849786,990,65
38849436,900,35
38847560,1450,87
38843353,990,73
38840625,475,40
35145393,850,25
38153449,990,65
38677705,1000,120
32897413,1375,100
37432145,900,35
38153797,1100,65
38108980,1300,50
38534537,900,70
38499838,990,75
38617675,790,68
38151087,1100,90
38823521,990,65
38789090,1300,52
38676813,1800,98
38278887,990,65
38712990,1000,67
38171320,990,90
38664723,1350,119
33085324,825,72
38267822,1440,95
38151897,990,95
35284118,1100,50
38744112,1100,82
38476642,1600,97
38562476,790,76
38165831,990,65
37054424,2500,100
38680523,850,49
38541648,1315,71
38775095,1300,75
38559458,900,45
38168671,1000,62
38165020,990,61
38803417,900,37
38498662,1100,65
36045709,880,62
38829779,875,65
38799652,850,65
38536126,1000,70
38330936,1300,50
38382976,1050,94
38820872,1050,54
38471371,1000,61
32130987,1025,45
38773320,1000,70
38813936,795,52
38410672,1750,120
38275833,990,61
38214769,1300,50
38199188,1100,62
37586632,1200,94
455878,825,78
37894876,750,40
38502089,980,85
38654087,1200,76
37897059,850,49
38561681,1200,83
38161171,1100,65
37895609,800,49
38157083,1100,70
38570227,1315,71
38552498,550,25
38227491,990,70
38464954,1100,61
37895200,900,49
