	Line	Name	Lat/Lon	Order
0	L2	Sant Antoni	41.3798587329518 , 2.1632887586535	2
1	L2	Universitat	41.3847201846007 , 2.16392260234239	3
2	L2	Paral.lel	41.375039139559 , 2.16913024692333	1
3	L2	Passeig de Gràcia	41.3894163760186 , 2.16823683974007	4
4	L2	Tetuan	41.3948996769105 , 2.17553562920688	5
5	L2	Monumental	41.4004929554527 , 2.17952263230581	6
6	L2	Sagrada Família	41.4039969134632 , 2.17514745470531	7
7	L2	Encants	41.4072864680062 , 2.1827519784438	8
8	L2	Clot	41.4104525785804 , 2.18693417757973	9
9	L2	Bac de Roda	41.4151753337543 , 2.19550432669064	10
10	L2	Sant Martí	41.4191123676228 , 2.20077638100069	11
11	L2	La Pau	41.4241469840362 , 2.20558808922946	12
12	L2	Verneda	41.4300427497672 , 2.20990191350488	13
13	L2	Artigues Sant Adrià	41.4338278181095 , 2.21768382981863	14
14	L2	Sant Roc	41.4358194300033 , 2.2285794819181	15
15	L2	Gorg	41.4402793240193 , 2.23346831479129	16
16	L2	Pep Ventura	41.4439616490883 , 2.23799996153456	17
17	L2	Badalona Pompeu Fabra	41.4491346834602 , 2.24417083038483	18
