ID,Street name,City,Lat/Lon,Furniture,Buses
550,Av d'Esplugues-Doctor Joaquim Albarrán,BARCELONA,41.3899811 / 2.1090629,Pal,22 63 68 75 78 
552,Av d'Esplugues-Eduard Toldrà,BARCELONA,41.3879470 / 2.1065960,Pal,22 60 63 68 75 78 113 
553,Av d'Esplugues-Parc de Cervantes,BARCELONA,41.3859388 / 2.1052978,Marquesina,22 63 68 78 EP1 JM N12 
554,Sor Eulàlia d'Anzizu - Gran Capità,BARCELONA,41.3881552 / 2.1099826,Pal,54 75 EP1 JM 
555,Sor Eulàlia d'Anzizu-Carreras,BARCELONA,41.3883940 / 2.1100984,Marquesina,54 
556,Zona Universitària-Fctat C Econòmiques,BARCELONA,41.3847617 / 2.1114423,Pal,74 
557,Av Príncep d'Astúries 59,BARCELONA,41.4052848 / 2.1499641,Pal,22 24 28 92 87 N4 
558,Av Príncep d'Astúries 61,BARCELONA,41.4054883 / 2.1499055,Pal,27 31 32 
559,Pl Molina,BARCELONA,41.4016938 / 2.1467547,Pal,16 17 N5 
560,Villarroel-Gran Via,BARCELONA,41.3833324 / 2.1592347,Pal,14 20 37 59 N12 
561,Pg de Gràcia-Casp,BARCELONA,41.3889539 / 2.1692846,Marquesina,16 17 22 24 28 N4 N5 N6 N7 
562,Balmes-Gran Via,BARCELONA,41.3875242 / 2.1648417,Pal,16 17 N5 N7 
563,Muntaner-Gran Via,BARCELONA,41.3852884 / 2.1610652,Pal,54 58 64 66 N3 N8 
565,Rambla de Prim-Gran Via,BARCELONA,41.4189896 / 2.2097027,Pal,36 
566,Concili de Trento-Pl de la Pau,BARCELONA,41.4224272 / 2.2085733,Pal,56 
567,Bilbao-Andrade,BARCELONA,41.4101149 / 2.1937243,,192 
569,Extremadura-Empordà,BARCELONA,41.4238806 / 2.2102808,Marquesina,42 43 60 B25 N11 N2 
570,Lepant-Plaça de Toros Monumental,BARCELONA,41.4005721 / 2.1817432,Pal,10 62 N3 
571,Sant Pere d'Abanto-Moianès,BARCELONA,41.3717644 / 2.1430092,Pal,91 
572,Barri de La Pau-Gran Via,BARCELONA,41.4223353 / 2.2104233,Pal,56 
573,Pl Espanya-Gran Via,BARCELONA,41.3927819 / 2.1727173,Marquesina,37 46 65 79 165 
574,Rambla de Prim-Andrade,BARCELONA,41.4200513 / 2.2072894,Pal,36 B21 
576,Roger de Flor-Gran Via,BARCELONA,41.3952819 / 2.1774681,Pal,54 
577,Metro Pg de Gràcia,BARCELONA,41.3919701 / 2.1650495,Pal,22 24 28 N4 N6 
578,Bac de Roda-Perú,BARCELONA,41.4107530 / 2.1999182,Marquesina,40 42 71 N8 
580,Llançà-Av Mistral,BARCELONA,41.3758343 / 2.1513379,Marquesina,141 
584,Sants-Olzinelles,BARCELONA,41.3753539 / 2.1368441,Marquesina,56 57 157 N14 N2 
586,Pg de Valldaura-Mercat de la Guineueta,BARCELONA,41.4390530 / 2.1697612,Marquesina,31 47 73 76 B16 B19 N6 82 
588,Sant Adrià-Bon Pastor,BARCELONA,41.4365133 / 2.2082922,Marquesina,11 42 73 N8 
589,Lima-Sas,BARCELONA,41.4392493 / 2.2048517,Pal,11 73 
591,Av d'Esplugues-Hospital Sant Joan de Déu,BARCELONA,41.3849651 / 2.1040072,Marquesina,63 68 78 N12 
601,Sant Adrià - Poligon Industrial,BARCELONA,41.43542 / 2.19811,Marquesina,B22 
602,San Adrià - Ferran Junoy,BARCELONA,41.4406083 / 2.1961151,Marquesina,11 73 B22 
