ID,Street name,City,Lat/Lon,Furniture,Buses
811,Góngora-Artesania,BARCELONA,41.4421423 / 2.1733055,Pal,11 32 
812,Góngora-Almansa,BARCELONA,41.4430480 / 2.1746488,Pal,11 32 
813,Via Favència-Almansa,BARCELONA,41.4449244 / 2.1746590,Marquesina,11 32 60 N6 
814,Villarroel-Buenos Aires,BARCELONA,41.3920945 / 2.1476312,Pal,14 59 63 67 68 N7 
815,Comte d'Urgell - (Pl. Francesc Macià),BARCELONA,41.3919315 / 2.1455216,Marquesina,N12 
816,Calàbria-París,BARCELONA,41.3879767 / 2.1442271,Pal,41 
817,Via Favència-Centre Cívic,BARCELONA,41.4458944 / 2.1775146,Pal,11 32 60 127 N6 
818,Pg de Valldaura-Pl Llucmajor,BARCELONA,41.4386166 / 2.1770766,Marquesina,73 B16 B19 
819,Pg de Verdum-Pl Llucmajor,BARCELONA,41.4377950 / 2.1740908,Marquesina,11 31 32 47 50 51 N1 N6 
820,Av Mare de Déu de Montserrat-Pg Maragall,BARCELONA,41.4245357 / 2.1761379,Marquesina,31 32 74 N6 
822,Av Diagonal-Av de Sarrià,BARCELONA,41.3913740 / 2.1403435,Marquesina,06 07 33 34 63 67 N12 
823,Av Mare de Déu de Montserrat-Periodistes,BARCELONA,41.4217230 / 2.1741533,Marquesina,31 32 74 N6 
824,Alt de Pedrell-Aguilar,BARCELONA,41.4256861 / 2.1688098,Pal,39 117 
825,Alt de Pedrell-Palautordera,BARCELONA,41.4260535 / 2.1696108,Pal,39 
826,Arc de Sant Martí-Camil Oliveras,BARCELONA,41.4237653 / 2.1718336,Pal,39 
827,Llull-Bilbao,BARCELONA,41.4019728 / 2.2035055,Marquesina,26 36 71 141 N6 
828,Rambla de Guipúscoa-Bilbao,BARCELONA,41.4123932 / 2.1920774,Marquesina,33 43 44 
829,Pere IV-Roc Boronat,BARCELONA,41.4006896 / 2.1960962,Pal,40 42 B25 N11 
830,Llull-Ciutat de Granada,BARCELONA,41.3985265 / 2.1989466,Marquesina,26 71 141 
833,Dr. Trueta - Ciutat de Granada,BARCELONA,41.3966255 / 2.2009891,Pal,N6 N8 
835,Pujades (Àlaba-Pamplona),BARCELONA,41.3879170 / 2.1699187,Pal,71 
836,Av. Litoral ('Pl. Voluntaris Olímpics'-Arquitecte Sert),BARCELONA,41.3879170 / 2.1699187,,99 
837,Av Icària-Rosa Sensat,BARCELONA,41.3911813 / 2.1971687,Pal,14 41 71 92 
839,Bruc - Provença,BARCELONA,41.3972312 / 2.1656596,Marquesina,20 45 47 N6 
840,Marina-Sagrada Família,BARCELONA,41.3746572 / 2.1392303,Marquesina,10 N0 N7 
841,Roger de Llúria-Mallorca,BARCELONA,41.3956174 / 2.1657398,Marquesina,20 45 47 N6 
842,Aribau-Mallorca,BARCELONA,41.3897016 / 2.1576856,Marquesina,54 58 64 66 67 68 N3 N7 N8 
843,Mercabarna,BARCELONA,41.3312160 / 2.1155797,Pal,109 N1 
844,Carrer número 6-Carrer F,BARCELONA,41.3250329 / 2.1181582,Marquesina,109 N1 PR4 
845,Dante Alighieri-Pg Mare de Déu del Coll,BARCELONA,41.4248026 / 2.1522010,Pal,19 87 N4 
846,Travessera de Dalt-Mercat de Lesseps,BARCELONA,41.4085573 / 2.1519516,Pal,24 31 32 
847,Pl Mons-Mare de Déu dels Reis,BARCELONA,41.4133082 / 2.1448158,Pal,28 92 129 N5 
848,Pg Mare de Déu del Coll-Cartago,BARCELONA,41.4155928 / 2.1466654,Pal,28 92 129 N5 
849,Pg. Mare de Déu del Coll  - Baixada Sant Marià,BARCELONA,41.4178734 / 2.1477724,Pal,28 92 129 N5 
850,Pg Mare de Déu del Coll-Santuari,BARCELONA,41.4201899 / 2.1491496,Pal,28 92 129 N5 
851,Pg Mare de Déu del Coll-Funosas Llussà,BARCELONA,41.4200938 / 2.1489456,Pal,28 92 N4 N5 
852,Pg. Mare de Déu del Coll  - Baixada Solanell,BARCELONA,41.4176445 / 2.1475863,Pal,28 92 N4 N5 
853,Pg Mare de Déu del Coll-Pl Flandes,BARCELONA,41.4154786 / 2.1462309,Pal,28 92 N4 N5 
854,Riera Blanca-Onze de Setembre,BARCELONA,41.3775293 / 2.1214519,Marquesina,15 75 
855,Vallespir-Jardí de les Infantes,BARCELONA,41.3839484 / 2.1340242,Pal,54 N3 
856,Arizala-Av Madrid,BARCELONA,41.3764654 / 2.1251383,Marquesina,56 57 157 N14 N2 
857,Brasil (Miquel Àngel-Roses),BARCELONA,41.3879170 / 2.1699187,Pal,70 
858,Gran Via Carles III - Rbla. del Brasil,BARCELONA,41.3798625 / 2.1287175,Marquesina,72 
859,Sant Antoni Maria Claret-Rambla Volart,BARCELONA,41.4152866 / 2.1796784,Marquesina,19 20 45 47 50 51 117 192 B22 N1 N4 
861,Pl Maragall-Navas de Tolosa,BARCELONA,41.4198352 / 2.1814102,Pal,20 
863,Jaume Puigvert-Josep Millan Gonzalez,BARCELONA,41.4161599 / 2.1601635,Pal,114 
864,Doctor Ferran-Pg Manuel Girona,BARCELONA,41.3903384 / 2.1241190,Pal,06 
865,Doctor Ferran-Doctor August Pi i Sunyer,BARCELONA,41.3905659 / 2.1238058,Pal,16 
866,Capità Arenas-Pg Manuel Girona,BARCELONA,41.3908761 / 2.1258106,Pal,66 70 72 N7 
867,Pg de la Zona Franca-Mineria,BARCELONA,41.3623451 / 2.1376745,Marquesina,09 37 72 109 125 N1 
868,Gran Via-Edifici 'La Campana',BARCELONA,41.3675981 / 2.1393978,Marquesina (x2),09 37 46 65 79 109 165 L70 L72 L80 L81 L86 L87 L94 L95 N1 N13 N15  
871,Mallorca-Av Meridiana,BARCELONA,41.4125654 / 2.1873925,Pal,33 34 35 43 44 192 B20 N9 
872,Estació d'Autobusos Fabra i Puig,BARCELONA,41.4316698 / 2.1832865,Pal,97 
873,Pg de Fabra i Puig-Neopàtria,BARCELONA,41.4302549 / 2.1883920,Pal,11 26 34 36 126 B22 
874,Pg de Fabra i Puig-Llenguadoc,BARCELONA,41.4302922 / 2.1855159,Pal,11 26 34 36 126 B22 
875,Escòcia-Santapau,BARCELONA,41.4286643 / 2.1786177,Pal,11 26 34 74 122 
876,Escòcia-Pl Garrigó,BARCELONA,41.4286522 / 2.1814523,Pal,11 26 34 36 74 122 
877,Ctra de Ribes-Av Meridiana,BARCELONA,41.4494998 / 2.1897769,Pal,11 40 62 76 126 127 
878,Av Rasos de Peguera-Av Meridiana,BARCELONA,41.4622382 / 2.1798433,Pal,62 104 N3 
879,Ctra Nacional 152-Estació de Torre Baró,BARCELONA,41.4607667 / 2.1814779,Marquesina,62 96 97 104 
880,Felip II-Josep Estivill,BARCELONA,41.4191768 / 2.1887689,Pal,71 126 
882,Consell de Cent-Av Meridiana,BARCELONA,41.4066119 / 2.1865113,Pal,62 92 N3 
883,Av Meridiana-Pl de Mossèn Clapés,BARCELONA,41.4423780 / 2.1864711,Pal,97 104 
884,Av Sivate-Crta Nacional 152,BARCELONA,41.3879170 / 2.1699187,Pal,97 80 83 81 
885,Av Meridiana-Garbí,BARCELONA,41.4528110 / 2.1887255,Pal,62 96 97 104 N3 
887,Llull-Maresme,BARCELONA,41.4122225 / 2.2167177,Marquesina,36 141 
888,Gran Via-Josep Pla,BARCELONA,41.4176148 / 2.2061732,Marquesina,42 56 60 B21 N2 
889,Gran Via-Maresme,BARCELONA,41.4186889 / 2.2069672,Marquesina,42 56 60 B21 N2 
894,Pl Can Baró,BARCELONA,41.4162368 / 2.1623214,Pal,114 
895,Gran Via-Mossèn Amadeu Oller,BARCELONA,41.3680108 / 2.1396392,Marquesina (x2),09 37 46 65 79 109 165 L70 L72 L80 L81 L86 L87 L94 L95 N1 N15 N16  
897,Pl Sanllehy,BARCELONA,41.4133538 / 2.1607210,Pal,24 
898,Pl Catalana-Amílcar,BARCELONA,41.4212640 / 2.1729425,Pal,39 55 
907,Gran Via-Magòria,BARCELONA,41.3702405 / 2.1425724,Marquesina (x2),09 37 46 65 79 109 165 L70 L72 L80 L81 L86 L87 L94 L95 N1 N15 N16  
908,Ctra de la Bordeta-Àliga,BARCELONA,41.3732264 / 2.1439503,,91 
909,Gavà-Ptge Solsona,BARCELONA,41.3711707 / 2.1400281,Pal,91 
910,Providència-Alzina,BARCELONA,41.4064964 / 2.1566466,Pal,39 
911,Biada-Torrent de l'Olla,BARCELONA,41.4049789 / 2.154350499999964,Pal,39 
912,Pg Maragall-Els Quinze,BARCELONA,41.4256315 / 2.1754037,Marquesina,19 45 N4 
913,Indústria-Sardenya,BARCELONA,41.4063620 / 2.1702692,Marquesina,15 20 45 47 N4 
914,Gran Via-Marina,BARCELONA,41.3985875 / 2.1806385,Marquesina,06 07 56 62 B21 N2 N3 
915,Av Icària-Joan Miró,BARCELONA,41.3897020 / 2.1950325,Pal,14 41 71 92 
921,Pl de Sarrià,BARCELONA,41.4000448 / 2.1217182,Pal,22 64 68 75 N7 
922,Ronda de Dalt-Ràfols,BARCELONA,41.4016249 / 2.1148698,Pal,60 66 130 
923,Travessera de Les Corts-Mejía Lequerica,BARCELONA,41.3819337 / 2.1273284,Marquesina,15 75 L12 
925,Mini-Estadi-Palau Blaugrana,BARCELONA,41.3809385 / 2.1191704,Marquesina,113 L12 
927,Gran Via-Muntaner,BARCELONA,41.3844193 / 2.1617191,Marquesina,09 14 50 56 59 L94 L95 N1 N12 N13 N14 N15 N16 N17 N2 
928,Av Diagonal-Muntaner,BARCELONA,41.3942201 / 2.1499438,Pal,06 07 15 27 32 33 34 
929,Av Diagonal-Buenos Aires,BARCELONA,41.39389 / 2.14926,Pal,06 07 15 33 34 
930,Còrsega-Aribau,BARCELONA,41.3922188 / 2.1535065,Marquesina,54 66 67 68 N3 
931,Via Augusta-Muntaner,BARCELONA,41.3992695 / 2.1435653,Marquesina,58 64 N8 
932,Trav. de Gràcia (Muntaner-Aribau),BARCELONA,41.3879170 / 2.1699187,Pal,27 32 
933,Ronda General Mitre-Balmes,BARCELONA,41.4042281 / 2.1399399,Pal,16 74 N0 
934,Rda. General Mitre - Copernic,BARCELONA,41.4010617 / 2.1362215,Marquesina,16 74 N0 
935,Pg de Sant Gervasi-Císter,BARCELONA,41.4100156 / 2.1357045,Pal,22 123 
936,Pg de Sant Gervasi-Jesús i Maria,BARCELONA,41.4071592 / 2.1339135,Pal,22 58 75 123 
938,Provença-Aribau,BARCELONA,41.3903437 / 2.1555424,Pal,31 37 63 
939,Pg. Sant Gervasi ('Av. Tibidabo'-Císter),BARCELONA,41.3879170 / 2.1699187,Pal,75 
940,Ronda General Mitre-Av de Sarrià,BARCELONA,41.3932161 / 2.1314812,Pal,16 70 72 74 N7 
941,Gran Via de les Corts Catalanes - Mandoni,BARCELONA,41.36961 / 2.14208,Marquesina (x2),09 37 46 65 79 109 165 L70 L72 L80 L81 L86 L87 L94 L95 N1 N13 N15  
942,Secretari Coloma-Providència,BARCELONA,41.4102188 / 2.1623290,Pal,92 
943,Pl Espanya-Av Reina Maria Cristina,BARCELONA,41.3741660 / 2.1496040,Pal,13 23 50 61 
945,Av Ferrer i Guàrdia-Poble Espanyol,BARCELONA,41.3694629 / 2.1470340,Pal,13 50 61 
946,Berenguer de Palou-Pont del Treball,BARCELONA,41.4232414 / 2.1918320,Pal,26 34 35 36 40 126 B20 N9 
947,Berenguer de Palou-Pare Manyanet,BARCELONA,41.4275154 / 2.1917161,Marquesina,26 34 35 36 40 126 B20 N9 
948,Via Augusta-Princep d'Astúries,BARCELONA,41.4009572 / 2.1505474,Pal,16 17 N5 
949,Indústria-Roger de Flor,BARCELONA,41.4039151 / 2.1669914,Marquesina,15 20 45 47 N4 
950,Almogàvers-Marina,BARCELONA,41.3943204 / 2.1861783,Marquesina,40 42 141 B25 N11 
951,Ausiàs Marc-Nàpols,BARCELONA,41.3953948 / 2.1809028,Pal,54 
954,Pg Joan de Borbó-Almirall Cervera,BARCELONA,41.3787523 / 2.1879952,Marquesina,17 36 39 45 57 59 64 157 N8 
955,Pg Joan de Borbó-Ginebra,BARCELONA,41.3810172 / 2.1870768,Marquesina,17 36 39 45 57 59 157 N8 
956,Pg Joan de Borbó-Maquinista,BARCELONA,41.3798759 / 2.1872881,Pal,17 36 39 45 57 59 64 157 N8 
957,Pg Joan de Borbó-Almirall Aixada,BARCELONA,41.3772302 / 2.1883360,Pal,17 39 64 
959,Pg Joan de Borbó-Judici,BARCELONA,41.3761051 / 2.1889874,Pal,17 39 64 
960,Pg Joan de Borbó-Pl del Mar,BARCELONA,41.3743740 / 2.1886008,Pal,17 39 64 
962,Rambla de Prim-Metro Besòs,BARCELONA,41.4205223 / 2.2077366,Pal,36 56 B21 
963,Cantàbria-Gran Via,BARCELONA,41.4178113 / 2.2042126,Pal,26 40 
965,Pont del Treball-Santander,BARCELONA,41.4221347 / 2.1974795,Pal,26 40 
966,Pont del Treball-Berenguer de Palou,BARCELONA,41.4227274 / 2.1922545,Pal,26 36 40 
969,Pg Enric Sanchís-Sant Adrià,BARCELONA,41.4355330 / 2.2048228,Marquesina,42 B22 B23 N8 
970,Pg Enric Sanchís-Santander,BARCELONA,41.4335388 / 2.2060042,Pal,42 B22 B23 N8 
971,Rambla de Prim-Binéfar,BARCELONA,41.4243466 / 2.2024664,Pal,33 36 B24 N8 
972,Av Estatut de Catalunya-Pl de Botticelli,BARCELONA,41.4339399 / 2.1526851,Pal,10 
973,Artesania-Pl Llucmajor,BARCELONA,41.4396474 / 2.1746180,Pal,11 32 
974,Artesania-Parc de la Guineueta,BARCELONA,41.4406412 / 2.1734264,Pal,11 32 
975,Almansa-Via Favència,BARCELONA,41.4440158 / 2.1743701,Pal,11 32 
976,Av de Roma-Vilamarí,BARCELONA,41.3815506 / 2.1451540,Marquesina,43 44 
977,Via Barcino-Ausona,BARCELONA,41.4498870 / 2.1924594,Pal,11 40 
988,Santaló-Travessera de Gràcia,BARCELONA,41.3948792 / 2.1469479,Pal,14 68 N7 
989,Santaló-Mercat Galvany,BARCELONA,41.3970150 / 2.1442149,Pal,14 68 N7 
990,Numància-Travessera de Les Corts,BARCELONA,41.3863986 / 2.1356788,Marquesina,15 30 43 59 66 78 N0 
991,Travessera de Les Corts-Numància,BARCELONA,41.3873523 / 2.1358290,Pal,15 43 59 
992,Mandri ('Pg. Bonanova'-Mao).,BARCELONA,41.3879170 / 2.1699187,Pal,14 
993,Mandri-Artesa de Segre,BARCELONA,41.4030099 / 2.1340592,Pal,14 70 72 
994,Ronda General Mitre-Camp,BARCELONA,41.4026643 / 2.1375704,Pal,16 74 N0 
995,Pg de la Bonanova-Pl de la Bonanova,BARCELONA,41.4059366 / 2.1320407,Pal,22 75 123 
996,Pg de la Bonanova-Ganduxer,BARCELONA,41.4048502 / 2.1303727,Marquesina,22 64 75 N8 
997,Mandri-Maó,BARCELONA,41.4042346 / 2.1327162,Pal,70 72 
998,Santuari-Pl Gibraltar,BARCELONA,41.4201674 / 2.1513901,Pal,28 92 129 87 N4 N5 
999,Santuari-Font Rúbia,BARCELONA,41.4198928 / 2.1550632,Pal,28 92 N4 N5 
1000,Santuari-La Murtra,BARCELONA,41.4199860 / 2.1551180,Pal,28 92 N4 N5 
1001,Pl de Salvador Allende,BARCELONA,41.4202762 / 2.1510370,Marquesina,28 92 87 N4 N5 
1002,Av de Vallcarca-Metro Penitents,BARCELONA,41.4181235 / 2.1409537,Pal,27 
1003,Pl Alfonso Comín-Pg de la Vall d'Hebron,BARCELONA,41.4167839 / 2.1386987,Marquesina,17 60 73 123 124 N4 
1004,Av Paral·lel-Nou de la Rambla,BARCELONA,41.3750441 / 2.1704205,Marquesina,20 21 36 57 64 91 157 N0 N6 
1005,Ronda Sant Pau-Av Paral·lel,BARCELONA,41.3757258 / 2.1672416,Marquesina,20 24 64 91 N6 
1006,Ronda Sant Pau-Parlament,BARCELONA,41.3778854 / 2.1643656,Marquesina (x2),20 24 64 91 N6 
1007,Av Meridiana-Biscaia,BARCELONA,41.4176489 / 2.1867834,Pal,62 N3 
1008,Pg Maragall-Trinxan,BARCELONA,41.4190681 / 2.1807713,Marquesina,19 45 47 50 51 N1 N4 
1009,Mallorca-Navas de Tolosa,BARCELONA,41.4140062 / 2.1893182,Pal,33 34 35 43 44 192 B20 N9 
1010,Carrer de Olvan,BARCELONA,41.42967 / 2.13328,Pal,112 
1011,Pl del Nou,BARCELONA,41.3529680 / 2.1415669,Pal,09 
1019,Pg. Vall d´Hebron -  Av. Jordà,BARCELONA,41.4243276 / 2.1417546,Marquesina (x2),17 19 27 60 73 119 N4 
1020,Pg de la Vall d'Hebron-Natzaret,BARCELONA,41.4216174 / 2.1405343,Pal,17 19 27 60 73 119 N4 
1021,Ardena-Ronda de Dalt,BARCELONA,41.3906584 / 2.1073662,Pal,60 
1022,Pg Calvell-Rambla del Poblenou,BARCELONA,41.3970688 / 2.2057777,Pal,41 
1023,Sant Adrià-Pg Enric Sanchís,BARCELONA,41.4360679 / 2.2040354,Marquesina,11 73 B22 B23 
1024,Sant Adrià-Arbeca,BARCELONA,41.4366754 / 2.2080760,Pal,11 73 
1025,Ronda de Dalt-Moneders,BARCELONA,41.3900192 / 2.1081280,Pal,60 
1028,Pg de Torras i Bages-Joan Torras,BARCELONA,41.4372754 / 2.1910563,Marquesina,35 40 73 B20 N9 
1029,Av Tibidabo-Bosch i Alsina,BARCELONA,41.4145863 / 2.1337814,Pal,73 
1030,Av Ferrer i Guàrdia-Av Montanyans,BARCELONA,41.3678461 / 2.1451716,Pal,50 61 
1031,Pg de Fabra i Puig-Vilapicina,BARCELONA,41.4304497 / 2.1729021,Pal,71 122 
1033,Rambla de Guipúscoa-Verneda,BARCELONA,41.4248197 / 2.2080694,Pal,43 44 
1035,Via Favència-Molí,BARCELONA,41.4459870 / 2.1801791,Pal,60 127 
1036,Aribau-Laforja,BARCELONA,41.3979679 / 2.1473566,Marquesina,58 64 N8 
1037,Pg Maragall-Manigua,BARCELONA,41.4225940 / 2.1789259,Marquesina,19 45 47 50 51 N1 N4 
1039,Via Laietana-Palau de la Música,BARCELONA,41.3873537 / 2.1745906,Marquesina,17 19 40 45 N8 
1040,Trafalgar-Pl Urquinaona,BARCELONA,41.3889317 / 2.1744961,Pal,39 41 42 55 141 N4 
1041,Josep Soldevila - Rbla.. Onze de Stembre,BARCELONA,41.4304081 / 2.1960157,Pal,11 35 40 B20 B22 N9 
1045,Pg de la Zona Franca-Ulldecona,BARCELONA,41.3522735 / 2.1445227,Marquesina,37 109 N1 
1046,Pg de la Zona Franca-Grup d'Habitatges E. Aunós,BARCELONA,41.3537933 / 2.1435254,Marquesina,23 37 109 N1 
1047,Felip II-Ramon Albó,BARCELONA,41.4273027 / 2.1778140,Pal,71 
1048,Felip II-Pl del Doctor Modrego,BARCELONA,41.4256612 / 2.1799559,Pal,71 
1051,Jerez-Pl de la Ciutadella,BARCELONA,41.4316111 / 2.1556253,Pal,45 102 
1057,Constitució-Mossèn Amadeu Oller,BARCELONA,41.3699694 / 2.1377839,Pal,91 
1058,Viladomat-Manso,BARCELONA,41.3765226 / 2.1614740,Marquesina,20 24 64 120 N6 
1059,Vilamarí-Av Mistral,BARCELONA,41.3757732 / 2.1534501,Marquesina,55 
1060,Sant Pau-Ronda Sant Pau,BARCELONA,41.3754928 / 2.1679963,Pal,21 
1061,El Molino-Av Paral·lel,BARCELONA,41.3749029 / 2.1668678,Marquesina,20 57 61 64 157 N0 N6 
1062,Av Paral·lel-Lleida,BARCELONA,41.3748666 / 2.1530909,Pal,65 165 
1063,Av Paral·lel-Pl Espanya,BARCELONA,41.3748743 / 2.1522630,Marquesina,79 
1064,Av Paral·lel-Llançà,BARCELONA,41.3748748 / 2.1525954,,46 
1065,Pl de la Font Castellana-Tenerife,BARCELONA,41.4152479 / 2.1663791,Pal,114 
1066,Mallorca-Roger de Llúria,BARCELONA,41.3953796 / 2.1644878,Marquesina,20 43 44 N6 N7 
1067,Pl Urquinaona-Pau Claris,BARCELONA,41.3893705 / 2.1728679,Marquesina,17 47 62 N8 N9 
1068,Av Diagonal-Roger de Llúria,BARCELONA,41.3972827 / 2.1620353,Pal,06 15 33 34 
1069,Metro Urquinaona,BARCELONA,41.3895549 / 2.1742304,Marquesina,41 42 55 141 N4 
1070,Gran Via-Pg de Gràcia,BARCELONA,41.3901850 / 2.1694105,Marquesina (x2),07 50 54 56 62 N1 N11 N2 N3 N9 
1071,Pl Urquinaona,BARCELONA,41.3889539 / 2.1733879,Pal,16 
1072,Mercat de la Sagrada Família,BARCELONA,41.4056156 / 2.1781334,Marquesina,33 34 43 44 50 51 B20 B24 N9 
1073,Gran Via-Lepant,BARCELONA,41.4004598 / 2.1832119,Pal,07 56 B21 N2 
1074,Ctra de Ribes-Lepant,BARCELONA,41.3994952 / 2.1840690,Pal,62 N3 
1075,Pl Universitat,BARCELONA,41.3861472 / 2.1640359,Marquesina (x2),09 14 50 54 56 58 59 66 A1 L94 L95 N1 N12 N13 N14 N15 N16 N17 N2 
1076,Pl Universitat-Pelai,BARCELONA,41.3856684 / 2.1644740,Marquesina,24 41 55 91 141 N6 
1078,València-Pg de Gràcia,BARCELONA,41.3923875 / 2.1629814,Marquesina,20 43 44 
1079,Ronda Sant Pere-Pl Urquinaona,BARCELONA,41.3886229 / 2.1714812,Pal,22 
1080,Av Diagonal-Pg de Gràcia,BARCELONA,41.3962437 / 2.1585722,Marquesina,06 15 22 24 28 33 34 N4 
1081,Gran Via-Pau Claris,BARCELONA,41.3903470 / 2.1691059,Pal,07 50 54 56 
1082,Ronda Sant Pere-Pl de Catalunya,BARCELONA,41.3882848 / 2.1706434,Marquesina,28 N11 N7 N9 
1084,Ronda Sant Pere-Pau Claris,BARCELONA,41.3879170 / 2.1699187,Pal,62 
1086,Camèlies-Praga,BARCELONA,41.4131190 / 2.1629850,Pal,31 32 39 74 N6 
1087,Muntaner-Londres,BARCELONA,41.3929462 / 2.1510323,Marquesina,58 64 N8 
1088,Casanova-París,BARCELONA,41.3913276 / 2.1511117,Pal,63 67 68 N7 
1089,Rosselló-Bailèn,BARCELONA,41.3998071 / 2.1660240,Marquesina,20 39 45 47 N6 
1090,Metro Maresme/Forum,BARCELONA,41.4122779 / 2.2172002,Marquesina,36 
1091,Llull-Alfons el Magnànim,BARCELONA,41.4131014 / 2.2180865,Marquesina,141 
1092,Rambla de Guipúscoa-Rambla de Prim,BARCELONA,41.4229073 / 2.2055178,Pal,43 44 B21 
1094,Rambla de Guipúscoa-Maresme,BARCELONA,41.4216355 / 2.2043413,Marquesina,33 43 44 B24 N8 
1095,Av Borbó-Pg Maragall,BARCELONA,41.4264414 / 2.1759070,Pal,31 32 47 50 51 74 122 N1 N6 
1098,Av Diagonal-Pl Francesc Macià,BARCELONA,41.3932070 / 2.1459363,Pal,06 07 15 27 32 33 34 63 67 
1099,Josep Tarradellas-Comte Borrell,BARCELONA,41.3915658 / 2.1442953,Pal,15 41 N12 
1103,Pl de Catalunya-Portal de l'Àngel,BARCELONA,41.3866342 / 2.1711028,Marquesina (x2),16 17 41 42 55 141 N4 N8 
1104,Sardenya-Camèlies,BARCELONA,41.4131556 / 2.1615659,Pal,114 N6 
1105,Pla del Palau,BARCELONA,41.3828069 / 2.1843665,Pal,14 
1106,Av Marquès de l'Argentera-Pla del Palau,BARCELONA,41.3838420 / 2.1841326,Pal,14 
1107,Pla del Palau-Govern Civil,BARCELONA,41.3829414 / 2.1838896,Pal,51 
1108,Av Marquès de l'Argentera-Pg Picasso,BARCELONA,41.3851335 / 2.1852222,Pal,14 39 51 
1109,Pallars-Pere IV,BARCELONA,41.3977031 / 2.1932360,Marquesina,06 40 42 141 B25 N11 
1111,Rambla de Prim-Pere IV,BARCELONA,41.4188091 / 2.2088467,Pal,36 
1113,Rambla de Prim-Jaume Huguet,BARCELONA,41.4173290 / 2.2118237,Pal,36 43 B23 
1114,Dr. Aiguader - Mediterrània,BARCELONA,41.3825958 / 2.1876207,Marquesina,N0 N6 
1116,Pl Lesseps-Gran de Gràcia,BARCELONA,41.4061769 / 2.1501044,Marquesina,22 24 28 116 87 N4 
1117,Gran de Gràcia-Santa Àgata,BARCELONA,41.4035155 / 2.1522149,Pal,22 24 28 87 N4 
1118,Av Príncep d'Astúries-Pl Lesseps,BARCELONA,41.4057016 / 2.1501543,Pal,27 31 32 92 
1119,Av República Argentina-Pàdua,BARCELONA,41.4079296 / 2.1477299,Pal,22 27 28 92 N4 
1120,Ronda General Mitre-Septimània,BARCELONA,41.4056638 / 2.1466708,Pal,74 N0 
1122,Pl Lesseps-Riera de Vallcarca,BARCELONA,41.4067861 / 2.1495441,Marquesina,24 31 32 87 
1123,Av Príncep d'Astúries-Carolines,BARCELONA,41.4036795 / 2.1501147,Pal,27 31 32 92 
1124,Ronda Universitat-Pl Universitat,BARCELONA,41.3862228 / 2.1650957,Marquesina (x2),14 24 41 55 59 66 67 68 141 N1 N2 N3 N6 N7 N8 
1125,Ciutat de Granada-Pallars,BARCELONA,41.3996314 / 2.1963790,Pal,06 141 N8 
1126,Roc Boronat-Llull,BARCELONA,41.3995872 / 2.1988728,Marquesina,06 N8 
1127,Pg de Lluís Companys-Arc de Triomf,BARCELONA,41.3907318 / 2.1802850,Marquesina,39 40 41 42 51 141 B25 N11 
1128,Pg de Lluís Companys-Jutjats,BARCELONA,41.3888801 / 2.1827304,Marquesina,40 41 42 141 B25 N11 
1129,Parc de la Ciutadella-Pg Picasso,BARCELONA,41.3878462 / 2.1830873,Pal,14 39 51 
1130,Pg Picasso-Jutjats,BARCELONA,41.3883893 / 2.1821407,Pal,39 51 
1131,Bac de Roda-Llull,BARCELONA,41.4056099 / 2.2067449,Marquesina,71 
1133,Rambla de Prim-Llull,BARCELONA,41.4131080 / 2.2174399,Pal,36 B23 N6 
1134,Marina-Av Bogatell,BARCELONA,41.3927666 / 2.1898526,Marquesina,10 N0 
1135,Pau Claris-Rosselló,BARCELONA,41.3965088 / 2.1621080,Pal,39 
1136,Pg de Gràcia-Mallorca,BARCELONA,41.3944432 / 2.1622467,Marquesina,07 16 17 22 24 28 N4 N5 
1137,Casanova-Mercat del Ninot,BARCELONA,41.3886391 / 2.1546597,Pal,14 59 
1138,Pg de Sant Joan-Provença,BARCELONA,41.3998186 / 2.1694503,Pal,15 55 N4 
1139,Balmes-Provença,BARCELONA,41.3928590 / 2.1578895,Pal,07 16 17 31 67 68 N5 
1140,Padilla - Mallorca,BARCELONA,41.4056863 / 2.1773849,Pal,19 N1 
1141,Lepant-Av Gaudí,BARCELONA,41.4058140 / 2.1748503,Marquesina,10 19 N0 N1 
1142,Independència-Mallorca,BARCELONA,41.4090192 / 2.1819377,Pal,35 50 51 92 
1143,Dos de Maig-Rosselló,BARCELONA,41.4089522 / 2.1795241,Pal,35 50 51 92 
1144,Pg de Gràcia-Rosselló,BARCELONA,41.3954529 / 2.1607522,Marquesina,22 24 28 N4 
1146,Montbau-Vayreda,BARCELONA,41.4330746 / 2.1415379,Pal,10 
1147,Pg de la Vall d'Hebron-Poesia,BARCELONA,41.4323473 / 2.1455586,Marquesina,10 27 60 76 B16 B19 N4 
1148,Fundació Albà-Llars Mundet,BARCELONA,41.4350746 / 2.1470729,Marquesina,27 60 73 76 B16 B19 N4 
1149,Vayreda-Arquitectura,BARCELONA,41.4299915 / 2.1396534,Pal,10 
1150,Vayreda-Escultura,BARCELONA,41.4313427 / 2.1406845,Pal,10 
1158,Pg de Torras i Bages-Residència,BARCELONA,41.4393183 / 2.1911207,Marquesina,35 40 73 B20 N9 
1159,Pg de Torras i Bages-Almirall Proixida,BARCELONA,41.4417995 / 2.1909370,Marquesina,35 40 73 B20 N9 
1160,Pg de Torras i Bages-Pg de Santa Coloma,BARCELONA,41.4446029 / 2.1905908,Marquesina,35 40 B20 N9 
