ID,PRICE(€),SIZE(m^2)
38655180,65000,58
38527290,98000,68
35790421,95000,60
34611562,200000,120
38787213,96000,70
35822730,114900,70
38771255,170000,120
38261272,84000,65
38426657,132000,65
36735514,399000,310
38164061,139000,80
36288364,170303,81
38557686,175000,129
38134730,68500,70
38406387,90000,63
38207728,100000,75
37634466,81000,65
34611866,390000,198
38626736,80125,118
38484384,78000,60
38442208,77000,60
29539916,180000,120
1933339,140000,80
320294,150000,67
1602465,199000,80
37612547,142100,65
37593819,80000,58
35882905,180000,99
37175458,123000,65
30999837,135000,128
38655180,65000,58
38527290,98000,68
35790421,95000,60
34611562,200000,120
38787213,96000,70
35822730,114900,70
38771255,170000,120
38261272,84000,65
38426657,132000,65
36735514,399000,310
38164061,139000,80
36288364,170303,81
38557686,175000,129
38134730,68500,70
38406387,90000,63
38207728,100000,75
37634466,81000,65
34611866,390000,198
38626736,80125,118
38484384,78000,60
38442208,77000,60
29539916,180000,120
1933339,140000,80
320294,150000,67
1602465,199000,80
37612547,142100,65
37593819,80000,58
35882905,180000,99
37175458,123000,65
30999837,135000,128
38655180,65000,58
38527290,98000,68
35790421,95000,60
34611562,200000,120
38787213,96000,70
35822730,114900,70
38771255,170000,120
38261272,84000,65
38426657,132000,65
36735514,399000,310
38164061,139000,80
36288364,170303,81
38557686,175000,129
38134730,68500,70
38406387,90000,63
38207728,100000,75
37634466,81000,65
34611866,390000,198
38626736,80125,118
38484384,78000,60
38442208,77000,60
29539916,180000,120
1933339,140000,80
320294,150000,67
1602465,199000,80
37612547,142100,65
37593819,80000,58
35882905,180000,99
37175458,123000,65
30999837,135000,128
