ID,PRICE(€),SIZE(m^2)
38104958,320000,117
38548642,550000,81
38788334,535000,82
38518336,580000,108
36959702,719000,130
38730357,1725000,262
37407905,790000,138
38242386,925000,170
38663191,719000,136
37753968,275000,53
38560794,560000,80
38103573,1360000,125
34670810,860000,143
38087384,475000,94
36431375,950000,135
37186429,790000,137
37304034,535000,129
38402806,295000,79
38798798,535000,131
38466344,510000,116
38254309,465000,73
38798844,550000,100
38740820,590000,71
37780397,660000,124
38347569,560000,101
36925027,550000,129
38741396,250000,67
38609074,560000,80
38037985,970000,168
37406182,725000,157
37124878,590000,95
35166079,505000,68
35166075,920000,150
38662293,670000,109
38518790,665000,118
38018319,410000,86
37780393,675000,140
37110372,560000,100
38072221,580000,125
37815792,360000,90
37767924,659000,103
38469004,499000,119
38145812,970000,168
38748189,665000,90
38077788,535000,120
37916051,680000,144
37115473,730000,140
33616389,850000,175
38689854,599000,130
38741018,725000,146
38738881,560000,80
37818447,250000,56
37596903,415000,107
38744460,595000,87
38658452,670000,133
38603964,670000,133
38575515,1500000,185
38428591,499000,150
38087895,480000,112
37376550,790000,140
38591748,905000,123
38475626,530000,70
36269564,850000,202
37687380,560000,100
38701509,580000,108
38571434,610000,150
38367063,1175000,187
38146406,465000,75
37753957,719000,135
36841125,920000,175
35786114,1050000,160
38570169,510000,116
36945800,550000,100
38543448,790000,140
38428598,725000,133
36864475,550000,158
38428570,660000,176
38386825,725000,130
37563176,560000,108
37153582,420000,84
38616449,760000,120
37524141,324000,45
38701823,779000,132
38654098,480000,100
37596118,860000,150
37596115,1200000,133
37596112,976000,178
38120510,795000,149
38687574,650000,122
38523535,580000,103
34670817,1200000,120
33750407,890000,152
38774654,725000,125
37065824,520000,100
38519371,520000,110
38379526,320000,66
38434773,280000,72
38434770,315000,72
37635186,580000,110
37564090,265000,64
38636450,385000,90
38384074,450000,90
38286042,315000,78
35602511,450000,75
37997322,520000,100
38306392,380000,90
38497381,399000,100
38367194,440000,90
37913087,720000,168
38472095,660000,122
38808216,550000,106
38799586,535000,131
37356126,850000,202
37894311,1175000,187
38782211,670000,109
38793563,535000,131
38801609,380000,67
38797697,480000,100
37528854,315000,75
38805679,535000,131
38787066,749000,133
38781936,569000,120
38784433,535000,131
38802175,485000,70
38783244,680000,134
38736040,940000,168
38783219,535000,131
38789851,595000,87
37424809,659000,120
38798375,279000,60
38689975,500000,78
37807008,469000,75
29944834,193000,77
37560277,680000,144
38787724,464000,101
38786652,398000,102
38769186,455000,80
38741739,670000,109
37105223,795000,136
38761342,656000,128
38770304,535000,131
38740798,555000,117
37174765,790000,136
36685420,655000,76
38750688,670000,129
36497493,478900,69
36497462,496500,119
36497512,484700,69
36497533,518900,69
36497491,473000,61
36497516,495300,69
38769578,535000,82
36221677,395000,91
35166091,1200000,133
35166076,860000,150
35165897,976000,178
35166077,885000,149
38746525,420000,114
38761036,560000,81
38761048,530000,30
37328956,560000,135
38517948,350000,74
38500030,475000,94
38321731,795000,130
36520877,1650000,180
38764681,535000,131
38521050,365000,52
37839839,890000,152
38548955,800000,160
38772671,535000,131
38770111,535000,131
38765204,535000,131
35904357,500000,96
35326974,860000,150
35327006,885000,150
35327019,920000,149
35326961,976000,177
35327079,505000,67
35327086,1200000,133
38770847,535000,161
38764654,535000,131
38742514,340000,87
38741870,535000,131
38143105,440000,95
37243652,685000,115
38740724,735000,140
38624780,475000,94
38522707,475000,94
38519211,475000,94
38495319,475000,94
34906392,850000,152
38776553,380000,67
38773650,535000,131
38764964,535000,131
38763767,535000,131
38757370,535000,131
38397760,540000,87
37642899,560000,84
38609431,735000,144
38497759,475000,94
38492767,475000,94
37314844,495000,106
38740661,510000,150
38278008,499000,89
37598716,750000,151
37753958,659000,101
38640929,855000,123
38575740,550000,103
38769226,400000,78
38769185,430000,88
38738901,530000,74
38734758,719000,155
38422810,450000,76
38141372,480000,110
37934214,550000,158
37492388,850000,202
37454583,720000,155
37394742,850000,202
37327146,550000,134
37236974,895000,152
36809739,1750000,181
36660065,710000,120
36354979,565000,158
34627753,890000,177
38743253,650000,127
38701807,685000,115
38694299,840000,170
38678578,1175000,187
38658289,150000,55
38651868,760000,145
38548316,562000,115
38519057,233000,58
38305247,659000,105
38146973,480000,112
38114092,410000,86
38026458,850000,202
37715949,550000,158
37372727,850000,202
36946535,935000,127
33034468,765000,150
38699762,970000,153
38660462,659000,105
38625761,780000,139
36935327,445000,85
38276668,535000,80
38063431,760000,104
36994084,658000,145
36721972,740000,150
38677081,850000,146
38656553,380000,70
38650072,760000,100
38610652,450000,75
38562854,550000,100
38497352,475000,94
38733666,640000,120
38356798,1395000,308
38309765,325000,75
38295173,1395000,308
38290598,315000,76
38255408,535000,77
38054004,1175000,187
38041179,725000,133
38004602,469000,70
37733285,550000,158
37658488,450000,91
37641961,750000,136
37489076,580000,105
37334446,725000,126
37210557,925000,140
37167083,795000,133
37123122,730000,120
36626619,478000,69
36626616,473000,62
36077123,695000,144
38660402,550000,150
38564585,655000,95
38245405,315000,70
38104624,970000,175
38009391,315000,75
37279574,790000,137
38096365,400000,95
37935621,550000,111
35280293,320000,92
38496553,475000,94
38496011,475000,94
38143928,510000,104
37620208,725000,133
37404244,850000,202
37894929,550000,118
38661173,380000,84
38646890,475000,94
37464420,850000,202
37368844,850000,202
38774453,535000,131
38690324,560000,97
38371100,315000,60
37347775,750000,150
36436452,825000,180
38765409,420000,118
38695418,550000,130
38674187,389000,89
38570643,550000,110
38519458,600000,137
38042445,970000,170
38341864,680000,144
38123411,340000,87
38108315,530000,99
37598436,850000,202
37341800,850000,202
31584230,495000,89
38664857,340000,30
38539396,659000,90
38534880,665000,118
38518626,450000,90
38150660,550000,158
38470351,349000,80
38447540,585000,136
37912461,469000,73
37906576,550000,103
37758591,505000,87
35979589,725000,130
35089897,695000,129
38607865,1395000,308
37056967,520000,115
36548039,550000,155
36443619,565000,158
38597260,670000,127
38532826,670000,133
37330566,259000,59
37399805,385000,92
36470609,795000,133
38707527,560000,80
38675544,685000,123
38476373,840000,180
36586697,1200000,110
38439158,665000,122
38423494,1200000,181
38401007,530000,70
38390000,830000,163
38300545,905000,124
38171456,400000,95
38135816,1400000,129
38131723,469000,71
38113970,1175000,165
38103574,1480000,129
38094700,469000,71
38078242,455000,78
37970996,665000,123
37881022,920000,175
37772081,455000,79
37763143,740000,107
37743372,599000,108
37689008,680000,135
37687250,850000,202
37658624,750000,130
37320740,625000,101
37037065,280000,49
35323051,775000,170
34670809,976000,174
38765113,725000,125
38081265,560000,96
37935501,289000,63
37168176,450000,90
37356534,450000,80
38165696,469000,70
38148215,320000,66
38006118,610000,135
37323785,849990,152
37563538,520000,72
37171856,642100,103
34575142,1000000,166
38746746,535000,131
38713952,550000,109
37538213,850000,202
38248000,498500,100
37955131,690000,145
38690193,680000,143
38654804,530000,72
37716009,300000,80
36441423,320000,92
38713315,345000,75
38661125,310000,78
35163718,289000,63
38022832,350000,94
37617751,510000,113
37368195,498000,90
38522373,370000,100
36224387,750000,140
35602432,795000,127
38567314,1070000,136
37664587,590000,108
37242342,600000,139
35267012,315000,80
38655954,220000,43
38519464,690000,110
38514940,950000,139
38355192,740000,147
37598235,550000,106
37696524,340000,88
37726918,389000,90
36475686,225000,48
38460151,399000,100
38283290,450000,96
37978586,950000,139
37540309,695000,100
37501716,770000,105
37501715,740000,110
37501704,1486000,150
37501703,1500000,142
37501709,795000,105
37501687,725000,100
38678770,380000,90
