ID,PRICE(€),SIZE(m^2)
37506499,239900,58
38541506,355000,73
38587886,320000,84
37039143,425000,159
36403199,225000,65
38780956,490000,150
38169093,350000,85
35718781,492000,119
33744180,499000,119
38451891,299000,81
38789910,247000,68
38681036,299000,81
38472476,750000,171
38107248,376000,67
38562371,250000,120
38388755,710000,165
32684128,511000,140
38322150,330000,87
37599601,380000,100
38486151,250000,60
38343506,245000,60
38533066,270000,68
36954923,342000,93
38493367,590000,155
38484612,199000,55
38552235,598000,100
38546015,309000,49
38545997,475000,76
37076385,287100,77
35883324,265000,115
38451414,399000,81
36972118,455000,96
38370199,320000,93
38294515,225000,61
37688812,310000,81
38706870,390000,104
38379514,210000,70
38800929,490000,151
38356779,260000,63
36901333,445000,127
35128819,499000,120
38802647,287100,77
38799374,490000,150
38788550,255000,74
38790094,250000,80
38788511,287100,77
38745083,630000,130
38489442,340000,85
38259598,535000,116
38785281,256000,222
38416930,759000,200
38774589,340000,81
38743402,329000,90
38727227,630000,164
38727054,255000,102
34648388,499000,119
34648328,492000,119
38767491,250000,87
38766362,450000,101
38765383,233000,66
38758647,239000,60
38653703,299000,81
38644535,299000,81
38729957,370000,94
38714168,390000,104
38653836,475000,109
38640191,299000,81
38776621,320000,90
38765405,395000,88
38741129,470000,80
38732336,490000,140
38562510,255000,108
38741906,260000,65
38086994,490000,135
37249939,492000,119
34429101,499000,120
36320532,630000,115
38744555,265000,80
38624720,750000,210
38559304,350000,79
36155694,260000,130
38755241,254000,66
37278402,255000,110
38706679,337000,90
38731679,630000,154
38113281,375000,80
37457669,260000,52
37420885,455000,96
37122114,255000,165
35894903,255000,108
38455695,198000,68
38338311,590000,165
38302119,245000,60
38122053,105000,40
37560169,410000,85
37422950,299000,81
32237341,790000,320
38624691,1350000,285
38518557,290000,72
38488507,490000,151
38351543,350000,96
37714360,108000,35
38774404,315000,60
38368093,390000,110
38758511,649000,195
35741139,630000,152
38729969,185000,55
37680796,490000,151
38764254,110000,44
38650638,299000,81
38367420,590000,117
38331762,245000,60
38318441,245000,60
37936563,525000,388
37688166,395000,110
36599561,265000,95
38516407,329000,90
38464990,777000,170
38166051,309000,104
38647022,299000,81
38645651,299000,81
38638499,299000,81
37750722,287100,77
37509752,450000,229
38615411,255000,134
38532228,225000,60
38461389,370000,94
38460776,390000,104
37076604,287100,77
38528397,330000,65
35776805,630000,170
38615930,490000,130
38726844,369000,69
38647033,201600,81
38347568,330000,87
38331348,245000,60
38081686,490000,150
36112321,255000,115
33748695,499000,119
38770967,260000,78
38647507,255000,54
38511684,238000,65
37945847,274000,86
37636084,275000,86
38694821,316000,105
38361611,345000,84
38280390,490000,150
36219312,630000,100
37610786,210000,55
37492368,287100,77
37492367,287100,77
36025029,265000,120
33655152,840000,350
38712765,245000,65
38379298,475000,110
38251472,135000,30
34062913,255000,120
38350206,310000,74
38316716,320000,90
37225772,142000,93
38631496,201600,72
38312032,245000,60
36895669,219000,121
38044048,489900,151
35928627,265000,108
38483076,380000,81
38373540,310000,88
38372788,270000,78
38009379,395000,110
38674636,309000,81
37524524,630000,174
38612633,650000,101
38621723,249000,55
38280241,490000,150
38273518,260000,60
37654653,355000,88
37546201,225000,55
38460320,219000,80
38387242,240000,74
38025591,455000,96
37268621,490000,110
37076309,287100,77
36563735,275000,120
38312716,245000,60
37076659,287100,77
36992763,630000,213
38643373,330000,75
38601284,245000,60
38486884,428000,109
38143755,340000,105
37446114,265000,118
32488372,299000,95
38650924,230000,82
38461949,490000,150
38370140,310000,90
36332470,145000,59
38659419,240000,79
38642564,290000,65
36270264,310000,81
38746913,598000,100
38746912,515000,87
38338568,215000,65
33816618,273000,95
38492605,240000,50
38006361,260000,55
36932308,225000,60
38095828,190000,54
37747299,240000,80
37387706,198000,77
37123013,287000,77
37123012,287000,77
37115400,287100,77
37078485,287100,77
37070968,287100,77
37070947,287100,77
32290550,400000,92
38707063,370000,94
38675819,257000,80
38595993,209000,85
38567345,339000,87
38282329,590000,105
37733296,238000,82
37374605,225000,91
35710886,630000,170
38420295,260000,68
37063984,287100,77
38605752,375000,75
38156021,240000,74
38081100,195000,52
37922840,395000,100
37648008,240000,80
36990868,275000,140
38571921,240000,70
33874458,790000,351
38440574,179000,78
36722163,225000,91
38457093,345000,90
38369850,270000,77
38357762,135000,30
37995441,240000,70
37995340,240000,70
38428340,490000,150
37762451,239000,82
35880617,190000,55
38216404,315000,57
38248597,475000,95
38596409,230000,58
38339624,260000,80
32097855,246000,70
38111412,260000,68
37882439,240000,74
37799921,335000,100
37594748,225000,70
35572111,275000,110
33460497,780000,320
