ID,PRICE(€),SIZE(m^2)
35970381,780000,144
37778605,498000,134
38251358,550000,122
38646677,475000,145
37519416,580000,130
38712577,3950000,498
38664848,690000,135
38664829,375000,109
38613962,850000,134
38155081,860000,139
38036846,860000,160
37841523,580000,132
37689573,480000,82
36731893,630000,110
38552270,405000,87
38233882,350000,72
38114380,415000,100
37260336,345000,82
38713921,1655000,211
38697508,490000,88
38480812,560000,133
38370718,500000,90
38307198,586000,120
37841526,590000,150
37101283,470000,73
35646432,278000,69
34584895,720000,125
37962746,860000,160
38181070,260000,62
38565857,1370000,172
38278514,1145000,172
38796990,710000,130
38801836,235000,48
34773944,720000,125
38789503,239000,41
37788404,615000,150
38368651,385000,69
38561183,380000,74
38558123,1320000,138
38027024,580000,136
38767471,755000,91
38767457,422000,61
38735956,525000,114
38587881,330000,50
35493912,345000,82
38571643,380000,90
38470865,249000,45
38729572,2295000,287
38178798,878000,191
38424955,295000,78
38352545,347000,72
38281048,475000,125
37944120,345000,77
37793612,1500000,328
35175126,345000,82
38087350,860000,160
37915887,665000,149
37489501,1600000,198
35064640,900000,128
34871559,1550000,222
37091801,470000,72
36043229,1650000,328
36009873,1200000,160
37612728,420000,100
36978511,750000,123
36195556,360000,70
37488898,1400000,266
38238886,895000,171
38183215,795000,148
38145387,320000,58
38001716,372000,46
37680149,580000,136
37471859,500000,81
37417879,775000,230
37101972,595000,90
35314323,950000,185
34291357,320000,44
33525012,575000,82
38644162,250000,60
38523418,490000,95
37260338,470000,73
37260337,575000,90
36749955,775000,232
32311742,775000,165
27583904,440000,120
38251346,599000,89
38365463,380000,90
37214158,380000,97
36513890,555000,96
37061812,525000,103
38798950,415000,71
26910523,890000,182
38515959,525000,120
38804584,330000,80
38803530,590000,141
38801441,695000,140
38788991,850000,93
38688918,310000,168
37789652,450000,100
38805667,590000,141
38798556,1950000,291
38789149,239000,41
37953809,460000,94
38789673,710000,130
34088327,795000,142
38795696,217000,50
38782328,380000,80
38793247,247000,46
35328113,320000,70
34071886,351780,90
38774559,820000,185
38771224,599000,174
38744236,415000,71
38745721,590000,161
36871002,289000,70
38705174,530000,135
38783217,800000,160
38740779,1350000,180
37927437,399000,88
38636436,785000,170
38770772,700000,130
38743903,790000,172
38740574,580000,121
36938482,595000,322
37632256,685000,139
35185538,399000,83
37497284,790000,182
38658793,820000,185
38561620,500000,78
38561618,690000,116
38561414,575000,95
38561629,515000,78
37897458,249000,50
38775317,825000,225
38767114,590000,141
36241222,310000,67
38560254,995000,200
38244614,461000,75
38729267,349000,80
38707512,575000,120
38067610,1200000,211
35903508,1650000,320
38510007,495000,78
37067648,995000,174
36675503,775000,230
33718033,1200000,170
38049414,750000,160
37798873,300000,80
38741266,238000,67
38257612,395000,67
38152514,410000,90
38077214,415000,71
37846800,1200000,145
37236217,720000,130
36790833,345000,72
35861858,3200000,220
35403397,1200000,136
35379871,1650000,320
33066619,425000,100
38027685,625000,148
38731382,275000,98
37417469,590000,153
36695699,399000,64
38531924,995000,179
38510002,700000,105
37999744,380000,79
37648778,415000,71
1675765,349000,80
38527249,490000,88
38527248,470000,80
38185089,360000,71
38166402,415000,72
38005226,550000,105
35407279,1550000,222
38748535,380000,79
38735800,590000,141
35040813,980000,179
38106969,600000,70
37802183,426000,64
37802182,364000,50
37802181,376000,46
37802180,395000,62
37802179,368000,50
35448874,372000,48
35448830,755000,132
35448775,422000,67
35448761,680000,115
37781363,590000,105
37636590,1150000,220
37629735,1150000,206
37621345,415000,72
37186147,530000,137
36010397,1650000,328
34435563,990000,183
34335735,720000,125
38669132,860000,160
38620615,550000,93
38568090,450000,102
36813957,345000,72
38762853,250000,60
38344588,580000,140
38277567,680000,135
38194491,1150000,215
38107657,780000,156
37990969,860000,160
37923634,440000,159
37779660,415000,71
37599267,575000,95
37342433,1200000,170
36772952,1675000,256
