ID,PRICE(€),SIZE(m^2)
38371918,245000,83
38494558,520000,130
35979181,1800000,287
38340355,245000,92
33258386,1250000,460
26486869,1700000,253
36790434,950000,340
38368887,580000,137
37810474,460000,133
36443112,1750000,280
33837844,825000,253
32415458,825000,320
37440788,300000,115
38027909,375000,110
38010565,575000,155
38637497,1700000,253
38109530,350000,104
38089188,380000,88
37404453,200000,68
37668004,1750000,280
32550777,975000,222
38368316,249000,100
33901025,850000,200
37908364,170000,78
36509361,2100000,400
37631885,1200000,314
37600923,704000,165
38195961,259000,154
27196973,850000,260
35187532,125000,65
38371918,245000,83
38494558,520000,130
35979181,1800000,287
38340355,245000,92
33258386,1250000,460
26486869,1700000,253
36790434,950000,340
38368887,580000,137
37810474,460000,133
36443112,1750000,280
33837844,825000,253
32415458,825000,320
37440788,300000,115
38027909,375000,110
38010565,575000,155
38637497,1700000,253
38109530,350000,104
38089188,380000,88
37404453,200000,68
37668004,1750000,280
32550777,975000,222
38368316,249000,100
33901025,850000,200
37908364,170000,78
36509361,2100000,400
37631885,1200000,314
37600923,704000,165
38195961,259000,154
27196973,850000,260
35187532,125000,65
38371918,245000,83
38494558,520000,130
35979181,1800000,287
38340355,245000,92
33258386,1250000,460
26486869,1700000,253
36790434,950000,340
38368887,580000,137
37810474,460000,133
36443112,1750000,280
33837844,825000,253
32415458,825000,320
37440788,300000,115
38027909,375000,110
38010565,575000,155
38637497,1700000,253
38109530,350000,104
38089188,380000,88
37404453,200000,68
37668004,1750000,280
32550777,975000,222
38368316,249000,100
33901025,850000,200
37908364,170000,78
36509361,2100000,400
37631885,1200000,314
37600923,704000,165
38195961,259000,154
27196973,850000,260
35187532,125000,65
38371918,245000,83
38494558,520000,130
35979181,1800000,287
38340355,245000,92
33258386,1250000,460
26486869,1700000,253
36790434,950000,340
38368887,580000,137
37810474,460000,133
36443112,1750000,280
33837844,825000,253
32415458,825000,320
37440788,300000,115
38027909,375000,110
38010565,575000,155
38637497,1700000,253
38109530,350000,104
38089188,380000,88
37404453,200000,68
37668004,1750000,280
32550777,975000,222
38368316,249000,100
33901025,850000,200
37908364,170000,78
36509361,2100000,400
37631885,1200000,314
37600923,704000,165
38195961,259000,154
27196973,850000,260
35187532,125000,65
38371918,245000,83
38494558,520000,130
35979181,1800000,287
38340355,245000,92
33258386,1250000,460
26486869,1700000,253
36790434,950000,340
38368887,580000,137
37810474,460000,133
36443112,1750000,280
33837844,825000,253
32415458,825000,320
37440788,300000,115
38027909,375000,110
38010565,575000,155
38637497,1700000,253
38109530,350000,104
38089188,380000,88
37404453,200000,68
37668004,1750000,280
32550777,975000,222
38368316,249000,100
33901025,850000,200
37908364,170000,78
36509361,2100000,400
37631885,1200000,314
37600923,704000,165
38195961,259000,154
27196973,850000,260
35187532,125000,65
