ID,PRICE(€),SIZE(m^2)
37143870,1150000,159
37637058,1180000,192
37778283,849000,185
38658451,695000,113
38653431,984000,85
37020468,815000,105
37669003,1250000,221
37173423,1180000,159
36082457,1180000,141
38616640,550000,87
37994277,575000,108
33825641,1080000,250
28756859,990000,241
35538923,984000,85
35311724,984000,84
37058569,1180000,160
34064527,2500000,228
37455045,385000,82
38764979,919000,120
38698558,2400000,464
38102375,690000,129
38252555,1650000,360
38517680,395000,60
38517640,395000,60
38297988,984000,200
38762696,680000,96
38113381,1180000,180
38453078,1495000,350
37691415,1500000,220
37267943,4000000,454
37143870,1150000,159
37637058,1180000,192
37778283,849000,185
38658451,695000,113
38653431,984000,85
37020468,815000,105
37669003,1250000,221
37173423,1180000,159
36082457,1180000,141
38616640,550000,87
37994277,575000,108
33825641,1080000,250
28756859,990000,241
35538923,984000,85
35311724,984000,84
37058569,1180000,160
34064527,2500000,228
37455045,385000,82
38764979,919000,120
38698558,2400000,464
38102375,690000,129
38252555,1650000,360
38517680,395000,60
38517640,395000,60
38297988,984000,200
38762696,680000,96
38113381,1180000,180
38453078,1495000,350
37691415,1500000,220
37267943,4000000,454
37143870,1150000,159
37637058,1180000,192
37778283,849000,185
38658451,695000,113
38653431,984000,85
37020468,815000,105
37669003,1250000,221
37173423,1180000,159
36082457,1180000,141
38616640,550000,87
37994277,575000,108
33825641,1080000,250
28756859,990000,241
35538923,984000,85
35311724,984000,84
37058569,1180000,160
34064527,2500000,228
37455045,385000,82
38764979,919000,120
38698558,2400000,464
38102375,690000,129
38252555,1650000,360
38517680,395000,60
38517640,395000,60
38297988,984000,200
38762696,680000,96
38113381,1180000,180
38453078,1495000,350
37691415,1500000,220
37267943,4000000,454
37143870,1150000,159
37637058,1180000,192
37778283,849000,185
38658451,695000,113
38653431,984000,85
37020468,815000,105
37669003,1250000,221
37173423,1180000,159
36082457,1180000,141
38616640,550000,87
37994277,575000,108
33825641,1080000,250
28756859,990000,241
35538923,984000,85
35311724,984000,84
37058569,1180000,160
34064527,2500000,228
37455045,385000,82
38764979,919000,120
38698558,2400000,464
38102375,690000,129
38252555,1650000,360
38517680,395000,60
38517640,395000,60
38297988,984000,200
38762696,680000,96
38113381,1180000,180
38453078,1495000,350
37691415,1500000,220
37267943,4000000,454
37143870,1150000,159
37637058,1180000,192
37778283,849000,185
38658451,695000,113
38653431,984000,85
37020468,815000,105
37669003,1250000,221
37173423,1180000,159
36082457,1180000,141
38616640,550000,87
37994277,575000,108
33825641,1080000,250
28756859,990000,241
35538923,984000,85
35311724,984000,84
37058569,1180000,160
34064527,2500000,228
37455045,385000,82
38764979,919000,120
38698558,2400000,464
38102375,690000,129
38252555,1650000,360
38517680,395000,60
38517640,395000,60
38297988,984000,200
38762696,680000,96
38113381,1180000,180
38453078,1495000,350
37691415,1500000,220
37267943,4000000,454
37143870,1150000,159
37637058,1180000,192
37778283,849000,185
38658451,695000,113
38653431,984000,85
37020468,815000,105
37669003,1250000,221
37173423,1180000,159
36082457,1180000,141
38616640,550000,87
37994277,575000,108
33825641,1080000,250
28756859,990000,241
35538923,984000,85
35311724,984000,84
37058569,1180000,160
34064527,2500000,228
37455045,385000,82
38764979,919000,120
38698558,2400000,464
38102375,690000,129
38252555,1650000,360
38517680,395000,60
38517640,395000,60
38297988,984000,200
38762696,680000,96
38113381,1180000,180
38453078,1495000,350
37691415,1500000,220
37267943,4000000,454
37143870,1150000,159
37637058,1180000,192
37778283,849000,185
38658451,695000,113
38653431,984000,85
37020468,815000,105
37669003,1250000,221
37173423,1180000,159
36082457,1180000,141
38616640,550000,87
37994277,575000,108
33825641,1080000,250
28756859,990000,241
35538923,984000,85
35311724,984000,84
37058569,1180000,160
34064527,2500000,228
37455045,385000,82
38764979,919000,120
38698558,2400000,464
38102375,690000,129
38252555,1650000,360
38517680,395000,60
38517640,395000,60
38297988,984000,200
38762696,680000,96
38113381,1180000,180
38453078,1495000,350
37691415,1500000,220
37267943,4000000,454
