ID,PRICE(€),SIZE(m^2)
35997346,125000,58
37814160,139000,75
38805023,172000,130
38739622,215000,96
38752158,135000,80
38748509,215000,71
38451615,79000,60
37987839,149000,100
35222940,275000,142
38741053,115000,65
38104807,255000,110
37456402,88470,61
37086285,215000,115
35489105,215000,106
38788773,260000,120
36828779,495000,320
38802800,126000,75
38806861,87800,92
38780525,80000,45
36137328,173500,91
38787668,150000,85
38750761,91000,73
38393736,120000,120
37632299,220000,84
37578233,85000,58
37480983,230000,77
36203231,275000,105
34900177,310000,170
35254091,275000,124
38502112,88000,65
38272436,260000,163
38087391,255000,110
37301239,270000,170
38456296,134000,64
38667097,138500,70
35992264,125000,87
38741736,175000,122
38648417,285000,103
37989077,255000,110
36772115,250000,100
36588108,80000,54
1627536,100000,63
38403693,127000,75
38391296,175000,120
38298352,97000,75
38049603,135000,67
37069079,248000,100
38021542,58000,102
38296975,148000,72
37808423,275000,190
35250431,275000,145
37999948,265000,110
36117162,118000,66
36117160,91000,52
38461380,255000,110
30778344,210000,106
38554203,255000,110
38154927,110000,64
37969007,255000,110
36595465,85000,65
38501998,116000,70
38767180,255000,110
28748957,146100,102
33827897,180000,65
38256366,255000,110
38125310,255000,110
38025231,113900,102
37987971,255000,110
37962064,255000,110
33229612,240000,132
38125395,255000,110
37967227,255000,110
35762600,115000,70
38462769,215000,60
37966291,175000,87
35799376,143500,71
34426407,120000,60
37699941,93700,66
37617504,105000,60
37333009,133000,72
33026779,125000,50
33099420,73000,50
1603638,180000,69
1658335,200000,85
38385962,257000,140
38114034,255000,110
36310313,50000,37
37989354,265000,110
37963907,255000,94
33827884,156000,57
38385594,240000,90
38018979,265000,110
33229651,109000,80
1679264,120000,75
1673432,120000,80
26584112,97000,50
26589243,110000,85
32299368,120000,47
