ID,PRICE(€),SIZE(m^2)
38568063,1250000,135
37850954,790000,137
36818450,790000,110
36731888,725000,100
33833918,595000,115
37924355,390000,85
38740735,680000,100
38525082,780000,127
36675933,1260000,95
38574381,725000,115
35253906,450000,117
37669005,815000,109
37282212,720000,150
38546364,460000,111
38386840,620000,124
37040002,650000,116
36935097,1500000,300
37193157,730000,125
38650871,390000,85
38249971,750000,122
37290367,925000,215
38775704,360000,73
38790510,160000,39
38774734,625000,178
38704480,355000,75
38746981,780000,136
38472247,925000,164
38281860,750000,106
38694482,750000,125
38114510,1260000,130
38568063,1250000,135
37850954,790000,137
36818450,790000,110
36731888,725000,100
33833918,595000,115
37924355,390000,85
38740735,680000,100
38525082,780000,127
36675933,1260000,95
38574381,725000,115
35253906,450000,117
37669005,815000,109
37282212,720000,150
38546364,460000,111
38386840,620000,124
37040002,650000,116
36935097,1500000,300
37193157,730000,125
38650871,390000,85
38249971,750000,122
37290367,925000,215
38775704,360000,73
38790510,160000,39
38774734,625000,178
38704480,355000,75
38746981,780000,136
38472247,925000,164
38281860,750000,106
38694482,750000,125
38114510,1260000,130
38568063,1250000,135
37850954,790000,137
36818450,790000,110
36731888,725000,100
33833918,595000,115
37924355,390000,85
38740735,680000,100
38525082,780000,127
36675933,1260000,95
38574381,725000,115
35253906,450000,117
37669005,815000,109
37282212,720000,150
38546364,460000,111
38386840,620000,124
37040002,650000,116
36935097,1500000,300
37193157,730000,125
38650871,390000,85
38249971,750000,122
37290367,925000,215
38775704,360000,73
38790510,160000,39
38774734,625000,178
38704480,355000,75
38746981,780000,136
38472247,925000,164
38281860,750000,106
38694482,750000,125
38114510,1260000,130
