ID,PRICE(€),SIZE(m^2)
38242391,1250000,180
37897368,990000,164
37267059,970000,196
35762706,625000,103
38386608,560000,118
37699537,825000,145
35070849,1350000,248
37482356,1200000,268
38617435,750000,109
36938273,965000,150
30538104,3600000,495
30175225,980000,265
36556048,1180000,183
38024654,965000,160
37634333,560000,120
38552128,1175000,190
37960673,1250000,225
36954643,3200000,700
28315510,2260000,350
38662200,550000,94
38610289,810000,180
37695008,660000,200
37634623,560000,126
34314010,2980000,600
38256709,1075000,260
38238771,560000,140
38647315,1180000,190
38543678,1590000,111
38531604,7000000,994
36868618,2150000,362
38242391,1250000,180
37897368,990000,164
37267059,970000,196
35762706,625000,103
38386608,560000,118
37699537,825000,145
35070849,1350000,248
37482356,1200000,268
38617435,750000,109
36938273,965000,150
30538104,3600000,495
30175225,980000,265
36556048,1180000,183
38024654,965000,160
37634333,560000,120
38552128,1175000,190
37960673,1250000,225
36954643,3200000,700
28315510,2260000,350
38662200,550000,94
38610289,810000,180
37695008,660000,200
37634623,560000,126
34314010,2980000,600
38256709,1075000,260
38238771,560000,140
38647315,1180000,190
38543678,1590000,111
38531604,7000000,994
36868618,2150000,362
38242391,1250000,180
37897368,990000,164
37267059,970000,196
35762706,625000,103
38386608,560000,118
37699537,825000,145
35070849,1350000,248
37482356,1200000,268
38617435,750000,109
36938273,965000,150
30538104,3600000,495
30175225,980000,265
36556048,1180000,183
38024654,965000,160
37634333,560000,120
38552128,1175000,190
37960673,1250000,225
36954643,3200000,700
28315510,2260000,350
38662200,550000,94
38610289,810000,180
37695008,660000,200
37634623,560000,126
34314010,2980000,600
38256709,1075000,260
38238771,560000,140
38647315,1180000,190
38543678,1590000,111
38531604,7000000,994
36868618,2150000,362
38242391,1250000,180
37897368,990000,164
37267059,970000,196
35762706,625000,103
38386608,560000,118
37699537,825000,145
35070849,1350000,248
37482356,1200000,268
38617435,750000,109
36938273,965000,150
30538104,3600000,495
30175225,980000,265
36556048,1180000,183
38024654,965000,160
37634333,560000,120
38552128,1175000,190
37960673,1250000,225
36954643,3200000,700
28315510,2260000,350
38662200,550000,94
38610289,810000,180
37695008,660000,200
37634623,560000,126
34314010,2980000,600
38256709,1075000,260
38238771,560000,140
38647315,1180000,190
38543678,1590000,111
38531604,7000000,994
36868618,2150000,362
38242391,1250000,180
37897368,990000,164
37267059,970000,196
35762706,625000,103
38386608,560000,118
37699537,825000,145
35070849,1350000,248
37482356,1200000,268
38617435,750000,109
36938273,965000,150
30538104,3600000,495
30175225,980000,265
36556048,1180000,183
38024654,965000,160
37634333,560000,120
38552128,1175000,190
37960673,1250000,225
36954643,3200000,700
28315510,2260000,350
38662200,550000,94
38610289,810000,180
37695008,660000,200
37634623,560000,126
34314010,2980000,600
38256709,1075000,260
38238771,560000,140
38647315,1180000,190
38543678,1590000,111
38531604,7000000,994
36868618,2150000,362
38242391,1250000,180
37897368,990000,164
37267059,970000,196
35762706,625000,103
38386608,560000,118
37699537,825000,145
35070849,1350000,248
37482356,1200000,268
38617435,750000,109
36938273,965000,150
30538104,3600000,495
30175225,980000,265
36556048,1180000,183
38024654,965000,160
37634333,560000,120
38552128,1175000,190
37960673,1250000,225
36954643,3200000,700
28315510,2260000,350
38662200,550000,94
38610289,810000,180
37695008,660000,200
37634623,560000,126
34314010,2980000,600
38256709,1075000,260
38238771,560000,140
38647315,1180000,190
38543678,1590000,111
38531604,7000000,994
36868618,2150000,362
38242391,1250000,180
37897368,990000,164
37267059,970000,196
35762706,625000,103
38386608,560000,118
37699537,825000,145
35070849,1350000,248
37482356,1200000,268
38617435,750000,109
36938273,965000,150
30538104,3600000,495
30175225,980000,265
36556048,1180000,183
38024654,965000,160
37634333,560000,120
38552128,1175000,190
37960673,1250000,225
36954643,3200000,700
28315510,2260000,350
38662200,550000,94
38610289,810000,180
37695008,660000,200
37634623,560000,126
34314010,2980000,600
38256709,1075000,260
38238771,560000,140
38647315,1180000,190
38543678,1590000,111
38531604,7000000,994
36868618,2150000,362
