ID,PRICE(€),SIZE(m^2)
29683671,400000,261
37089902,1045000,194
36448029,630000,120
36278074,1300000,235
37016959,1250000,601
36369350,3500000,483
37316562,485000,253
36683650,1750000,300
25490987,835000,182
36613264,857000,190
33932885,1850000,380
37620191,420000,104
30011371,2400000,600
38732705,750000,155
38520806,700000,240
30083023,592900,225
38537553,3750000,800
37282708,595000,280
38530414,344500,70
37970148,495000,220
38140469,415000,188
36981834,397000,137
38201488,415000,188
37377360,980000,497
38342531,998000,528
37450982,980000,497
37417443,625000,171
33522857,2000000,700
30279321,870000,260
25435010,550000,200
29683671,400000,261
37089902,1045000,194
36448029,630000,120
36278074,1300000,235
37016959,1250000,601
36369350,3500000,483
37316562,485000,253
36683650,1750000,300
25490987,835000,182
36613264,857000,190
33932885,1850000,380
37620191,420000,104
30011371,2400000,600
38732705,750000,155
38520806,700000,240
30083023,592900,225
38537553,3750000,800
37282708,595000,280
38530414,344500,70
37970148,495000,220
38140469,415000,188
36981834,397000,137
38201488,415000,188
37377360,980000,497
38342531,998000,528
37450982,980000,497
37417443,625000,171
33522857,2000000,700
30279321,870000,260
25435010,550000,200
29683671,400000,261
37089902,1045000,194
36448029,630000,120
36278074,1300000,235
37016959,1250000,601
36369350,3500000,483
37316562,485000,253
36683650,1750000,300
25490987,835000,182
36613264,857000,190
33932885,1850000,380
37620191,420000,104
30011371,2400000,600
38732705,750000,155
38520806,700000,240
30083023,592900,225
38537553,3750000,800
37282708,595000,280
38530414,344500,70
37970148,495000,220
38140469,415000,188
36981834,397000,137
38201488,415000,188
37377360,980000,497
38342531,998000,528
37450982,980000,497
37417443,625000,171
33522857,2000000,700
30279321,870000,260
25435010,550000,200
29683671,400000,261
37089902,1045000,194
36448029,630000,120
36278074,1300000,235
37016959,1250000,601
36369350,3500000,483
37316562,485000,253
36683650,1750000,300
25490987,835000,182
36613264,857000,190
33932885,1850000,380
37620191,420000,104
30011371,2400000,600
38732705,750000,155
38520806,700000,240
30083023,592900,225
38537553,3750000,800
37282708,595000,280
38530414,344500,70
37970148,495000,220
38140469,415000,188
36981834,397000,137
38201488,415000,188
37377360,980000,497
38342531,998000,528
37450982,980000,497
37417443,625000,171
33522857,2000000,700
30279321,870000,260
25435010,550000,200
29683671,400000,261
37089902,1045000,194
36448029,630000,120
36278074,1300000,235
37016959,1250000,601
36369350,3500000,483
37316562,485000,253
36683650,1750000,300
25490987,835000,182
36613264,857000,190
33932885,1850000,380
37620191,420000,104
30011371,2400000,600
38732705,750000,155
38520806,700000,240
30083023,592900,225
38537553,3750000,800
37282708,595000,280
38530414,344500,70
37970148,495000,220
38140469,415000,188
36981834,397000,137
38201488,415000,188
37377360,980000,497
38342531,998000,528
37450982,980000,497
37417443,625000,171
33522857,2000000,700
30279321,870000,260
25435010,550000,200
29683671,400000,261
37089902,1045000,194
36448029,630000,120
36278074,1300000,235
37016959,1250000,601
36369350,3500000,483
37316562,485000,253
36683650,1750000,300
25490987,835000,182
36613264,857000,190
33932885,1850000,380
37620191,420000,104
30011371,2400000,600
38732705,750000,155
38520806,700000,240
30083023,592900,225
38537553,3750000,800
37282708,595000,280
38530414,344500,70
37970148,495000,220
38140469,415000,188
36981834,397000,137
38201488,415000,188
37377360,980000,497
38342531,998000,528
37450982,980000,497
37417443,625000,171
33522857,2000000,700
30279321,870000,260
25435010,550000,200
