ID,PRICE(€),SIZE(m^2)
38501623,350000,84
38751690,325000,85
38502254,320000,75
38675070,770000,170
36388732,520000,83
38516468,560000,121
38642708,650000,153
38429514,590000,96
38429511,495000,120
35113565,1060000,215
38603135,320000,75
38201490,1150000,304
36619496,306000,60
37577204,450000,112
38771572,350000,81
37894675,635000,86
37894676,645000,86
37894549,629000,89
38489004,320000,75
37548704,107000,52
38744800,360000,85
38139416,324000,58
38659052,195000,48
37770279,555000,121
38507349,320000,80
38534223,330000,91
38493866,320000,75
36960935,330000,90
38355914,320000,75
37895868,415000,77
38658282,320000,85
38697740,510000,122
38513582,320000,63
38162118,1250000,293
37083696,810000,86
36830103,890000,215
38514579,295000,48
37089866,324000,57
37089834,306000,57
33302896,306000,57
38727916,420000,111
38571406,350000,85
38352455,265000,74
38484918,320000,70
38522987,320000,75
38196090,525000,86
37547139,347000,80
37482386,330000,70
38429513,465000,101
37705936,330000,91
36966004,330000,90
36956693,695000,119
38800506,320000,75
38788227,320000,75
38809407,320000,88
38805242,235000,44
38799964,320000,88
38809629,320000,80
38802095,235000,44
38793569,235000,44
38782431,225000,54
38795871,355000,82
37597548,355000,71
38805677,320000,88
38805580,289000,83
38783590,235000,44
38784484,320000,88
38796228,395000,98
38805056,555000,101
38793528,320000,88
38790198,159000,36
38786706,379000,76
38782928,320000,88
38801316,275000,70
38801254,179000,50
38786687,320000,88
38784647,320000,90
36722960,395000,92
38775250,355000,82
38786154,320000,88
38805592,335000,92
38788947,415000,77
38155345,399500,97
38779736,320000,88
37941357,296000,81
38801290,260000,55
38790377,220000,54
38619036,345000,75
37176987,453130,76
38784620,229000,55
37894677,655000,87
38379244,420000,109
38604359,355000,82
37547562,1150000,262
38752584,399000,80
38620047,525000,123
34931866,306000,57
38742231,280000,75
38484855,320000,75
36818449,313000,108
38714750,250000,61
38707717,299000,72
38732048,265000,74
38606347,355000,82
37775224,225000,54
38764117,235000,44
38645430,310000,63
38642959,355000,82
38762416,235000,44
38752664,229000,50
37894679,810000,86
37894680,870000,87
37858210,360000,67
31830702,324000,57
38767353,235000,44
38726950,320000,65
38303522,380000,74
37639029,415000,77
38696672,415000,77
38610559,320000,75
38519218,415000,77
38257212,299000,72
38140642,306000,57
38763862,235000,44
38763467,235000,44
38748919,680000,106
38740891,235000,44
37943265,415000,77
34117101,355000,82
37911030,415000,77
38740714,310000,65
38740398,299000,72
38760617,360000,75
38771829,420000,110
38769278,220000,44
38736251,780000,230
37869741,415000,77
38705392,320000,75
38651874,320000,75
38622248,395000,112
38546120,320000,63
38488260,189000,40
38279654,420000,117
38039124,415000,77
37862785,415000,77
37860586,415000,77
38683886,230000,53
38606037,320000,75
38557367,350000,87
38247285,415000,77
38486709,320000,75
38345595,420000,92
38316277,325000,80
38112061,560000,121
38109413,779000,219
36986873,306000,57
36255523,629000,87
33692075,324000,58
38516253,679000,59
37983232,360000,80
36279694,324000,58
33302895,324000,57
38516522,320000,85
38497315,320000,83
38457202,350000,74
37492657,390000,112
38742177,320000,80
38644909,350000,75
38166993,335000,84
37916977,355000,82
38692579,320000,80
38666323,320000,70
38544251,299000,74
38501639,306400,57
38194712,415000,77
38787124,320000,88
38680079,250000,72
38540442,320000,75
38493347,320000,80
38774042,279000,55
38761073,320000,71
38752575,185000,50
37710459,1100000,217
38654376,420000,110
38544156,320000,75
38366483,330000,105
38345582,420000,92
38334475,295000,69
38143588,449000,93
31275608,690000,274
38681582,447000,103
38679497,399000,100
38519661,320000,75
38496497,320000,63
38136975,345000,85
38302732,357000,96
34427103,392000,140
38555832,320000,75
37955559,415000,77
38479876,320000,75
37887538,312000,30
36993536,390000,110
36714711,306000,57
34647539,680000,188
38522070,478000,140
38507382,320000,75
38498244,679000,65
38368176,320000,85
38441588,345000,87
38232503,255000,65
38035104,450000,107
37894362,840000,95
37712323,265000,74
37434202,376780,100
35318809,479000,144
38456611,306000,60
38518213,240000,56
38269376,395000,90
38093186,319900,81
37262436,420000,82
38424155,560000,121
35617304,306000,48
35606445,324000,58
38004722,255000,63
38343215,324000,58
38004798,675000,130
37341618,449000,93
32556417,285500,80
38109037,780000,219
38035023,450000,107
30038344,690000,280
38144492,570000,120
38493346,320000,80
38404958,380000,67
38370058,355000,85
37365922,570000,79
36874092,310000,75
36858841,310000,78
36833668,225000,105
35606335,230000,54
34739911,306000,68
38658738,350000,75
37945756,275000,54
38368332,210000,45
38652664,225000,107
36318823,310000,76
38437892,255000,63
38421374,320000,75
37975867,250000,59
38400053,375000,83
38370121,345000,96
38124339,265500,75
38123933,239000,50
38037977,190000,40
36738152,306000,60
33012176,333000,60
38640781,420000,110
38153688,330000,95
37760169,780000,219
38371248,350000,90
37975876,250000,59
37770206,250000,59
35166478,425000,100
36025736,324000,60
38614656,720000,140
