ID,PRICE(€),SIZE(m^2)
38287142,265200,71
37811971,279000,80
38480819,279000,80
37965554,365000,100
38644163,295000,69
37615573,355000,110
38746462,242890,60
38515908,295000,69
37794057,378000,106
38620967,233400,76
38620717,475000,100
38101897,225000,48
37244419,298000,85
38530663,320000,70
38386054,215000,97
38771580,295000,69
38051379,277000,65
38785799,348000,100
38786046,160000,70
38783311,245000,70
38782274,368000,320
38777055,370000,340
38763351,239000,75
38722884,295000,75
38776087,245000,200
37567190,315000,84
38702224,239000,70
35953073,455000,100
36761536,345000,110
38517944,295000,69
38287142,265200,71
37811971,279000,80
38480819,279000,80
37965554,365000,100
38644163,295000,69
37615573,355000,110
38746462,242890,60
38515908,295000,69
37794057,378000,106
38620967,233400,76
38620717,475000,100
38101897,225000,48
37244419,298000,85
38530663,320000,70
38386054,215000,97
38771580,295000,69
38051379,277000,65
38785799,348000,100
38786046,160000,70
38783311,245000,70
38782274,368000,320
38777055,370000,340
38763351,239000,75
38722884,295000,75
38776087,245000,200
37567190,315000,84
38702224,239000,70
35953073,455000,100
36761536,345000,110
38517944,295000,69
38287142,265200,71
37811971,279000,80
38480819,279000,80
37965554,365000,100
38644163,295000,69
37615573,355000,110
38746462,242890,60
38515908,295000,69
37794057,378000,106
38620967,233400,76
38620717,475000,100
38101897,225000,48
37244419,298000,85
38530663,320000,70
38386054,215000,97
38771580,295000,69
38051379,277000,65
38785799,348000,100
38786046,160000,70
38783311,245000,70
38782274,368000,320
38777055,370000,340
38763351,239000,75
38722884,295000,75
38776087,245000,200
37567190,315000,84
38702224,239000,70
35953073,455000,100
36761536,345000,110
38517944,295000,69
38287142,265200,71
37811971,279000,80
38480819,279000,80
37965554,365000,100
38644163,295000,69
37615573,355000,110
38746462,242890,60
38515908,295000,69
37794057,378000,106
38620967,233400,76
38620717,475000,100
38101897,225000,48
37244419,298000,85
38530663,320000,70
38386054,215000,97
38771580,295000,69
38051379,277000,65
38785799,348000,100
38786046,160000,70
38783311,245000,70
38782274,368000,320
38777055,370000,340
38763351,239000,75
38722884,295000,75
38776087,245000,200
37567190,315000,84
38702224,239000,70
35953073,455000,100
36761536,345000,110
38517944,295000,69
38287142,265200,71
37811971,279000,80
38480819,279000,80
37965554,365000,100
38644163,295000,69
37615573,355000,110
38746462,242890,60
38515908,295000,69
37794057,378000,106
38620967,233400,76
38620717,475000,100
38101897,225000,48
37244419,298000,85
38530663,320000,70
38386054,215000,97
38771580,295000,69
38051379,277000,65
38785799,348000,100
38786046,160000,70
38783311,245000,70
38782274,368000,320
38777055,370000,340
38763351,239000,75
38722884,295000,75
38776087,245000,200
37567190,315000,84
38702224,239000,70
35953073,455000,100
36761536,345000,110
38517944,295000,69
