ID,PRICE(€),SIZE(m^2)
38701826,295000,56
38468244,260000,100
37542377,185000,70
38104229,326000,88
36388842,441500,106
38703290,187000,70
35749052,445000,100
38727509,165000,66
38475685,169000,67
37587575,358500,96
37587645,356000,69
38613325,205000,83
37340239,255000,75
38151169,199000,71
37620300,180000,75
38781254,250000,76
38776335,290000,85
38780953,210000,83
37704397,219000,55
37404261,176900,60
38732228,390000,108
38534073,210000,86
38743942,210000,65
38750828,192100,80
36388856,451500,106
36388846,446500,106
38192994,390000,102
38712827,165000,82
38742757,167000,75
37653266,165000,69
38701826,295000,56
38468244,260000,100
37542377,185000,70
38104229,326000,88
36388842,441500,106
38703290,187000,70
35749052,445000,100
38727509,165000,66
38475685,169000,67
37587575,358500,96
37587645,356000,69
38613325,205000,83
37340239,255000,75
38151169,199000,71
37620300,180000,75
38781254,250000,76
38776335,290000,85
38780953,210000,83
37704397,219000,55
37404261,176900,60
38732228,390000,108
38534073,210000,86
38743942,210000,65
38750828,192100,80
36388856,451500,106
36388846,446500,106
38192994,390000,102
38712827,165000,82
38742757,167000,75
37653266,165000,69
38701826,295000,56
38468244,260000,100
37542377,185000,70
38104229,326000,88
36388842,441500,106
38703290,187000,70
35749052,445000,100
38727509,165000,66
38475685,169000,67
37587575,358500,96
37587645,356000,69
38613325,205000,83
37340239,255000,75
38151169,199000,71
37620300,180000,75
38781254,250000,76
38776335,290000,85
38780953,210000,83
37704397,219000,55
37404261,176900,60
38732228,390000,108
38534073,210000,86
38743942,210000,65
38750828,192100,80
36388856,451500,106
36388846,446500,106
38192994,390000,102
38712827,165000,82
38742757,167000,75
37653266,165000,69
38701826,295000,56
38468244,260000,100
37542377,185000,70
38104229,326000,88
36388842,441500,106
38703290,187000,70
35749052,445000,100
38727509,165000,66
38475685,169000,67
37587575,358500,96
37587645,356000,69
38613325,205000,83
37340239,255000,75
38151169,199000,71
37620300,180000,75
38781254,250000,76
38776335,290000,85
38780953,210000,83
37704397,219000,55
37404261,176900,60
38732228,390000,108
38534073,210000,86
38743942,210000,65
38750828,192100,80
36388856,451500,106
36388846,446500,106
38192994,390000,102
38712827,165000,82
38742757,167000,75
37653266,165000,69
38701826,295000,56
38468244,260000,100
37542377,185000,70
38104229,326000,88
36388842,441500,106
38703290,187000,70
35749052,445000,100
38727509,165000,66
38475685,169000,67
37587575,358500,96
37587645,356000,69
38613325,205000,83
37340239,255000,75
38151169,199000,71
37620300,180000,75
38781254,250000,76
38776335,290000,85
38780953,210000,83
37704397,219000,55
37404261,176900,60
38732228,390000,108
38534073,210000,86
38743942,210000,65
38750828,192100,80
36388856,451500,106
36388846,446500,106
38192994,390000,102
38712827,165000,82
38742757,167000,75
37653266,165000,69
