ID,Name,Line,Lat/Lon,Connections,Accessibility,Zone
203,Ildefons Cerda,LLOBREGAT-ANOIA,41.3609173215604 / 2.13005628253596,,Adaptada,Zona 1
234,Vallvidrera-Superior,FUNICULAR DE VALLVIDRERA,41.414160756244 / 2.10578701391648,,Adaptada,Zona 1
235,Carretera de les Aigües,FUNICULAR DE VALLVIDRERA,41.4123215751654 / 2.10795728561831,,Adaptada,Zona 1
158,Les Tres Torres,BARCELONA-VALLÈS,41.3977942519956 / 2.13086320869379,,Adaptada,Zona 1
156,Reina Elisenda,BARCELONA-VALLÈS,41.3987543223672 / 2.1189585715207,,Adaptada,Zona 1
160,Peu del Funicular,BARCELONA-VALLÈS,41.4093322728303 / 2.1111068070849,FUNICULAR DE VALLVIDRERA,Projecte,Zona 1
236,Vallvidrera-Inferior,FUNICULAR DE VALLVIDRERA,41.4093430084479 / 2.11126888592507,S1-S2-S5-S55,Adaptada,Zona 1
157,Sarria,BARCELONA-VALLÈS,41.3985221563655 / 2.12560921355958,,Projecte,Zona 1
201,Magoria-La Campana,LLOBREGAT-ANOIA,41.3675199400012 / 2.13889245741581,,Adaptada,Zona 1
202,Barcelona-Pl.Espanya,LLOBREGAT-ANOIA,41.374313272974 / 2.14792033291174,L1-L3,Adaptada,Zona 1
271,Barcelona-Port,MERCADERIES,41.354703149168 / 2.16360908652581,,,
223,Núria,CREMALLERA DE NÚRIA,42.3973493041781 / 2.15485523547009,TELECABINA DE LA COMA DEL CLOT,Adaptada,No integrat
159,La Bonanova,BARCELONA-VALLÈS,41.3978065083239 / 2.13646250100671,,Adaptada,Zona 1
152,Provenca,BARCELONA-VALLÈS,41.3928984712324 / 2.15794344381402,L3-L5,Adaptada,Zona 1
147,El Putxet,BARCELONA-VALLÈS,41.4058544776957 / 2.13913247538163,,Projecte,Zona 1
149,Muntaner,BARCELONA-VALLÈS,41.3985635655534 / 2.14247396384842,,Adaptada,Zona 1
150,Sant Gervasi,BARCELONA-VALLÈS,41.40109185561 / 2.1471375251029,,Adaptada,Zona 1
148,Pl.Molina,BARCELONA-VALLÈS,41.4017040073392 / 2.14676634039191,,Adaptada,Zona 1
144,Padua,BARCELONA-VALLÈS,41.4035244785712 / 2.14274382765075,,Adaptada,Zona 1
146,Av.Tibidabo,BARCELONA-VALLÈS,41.4094832343485 / 2.13726704272589,TRAMVIA BLAU,Adaptada,Zona 1
151,Gracia,BARCELONA-VALLÈS,41.3992535642049 / 2.15260590862803,,Construcció,Zona 1
153,Catalunya,BARCELONA-VALLÈS,41.3857088355716 / 2.16842450008283,L1-L3-R.1-R3-R4-R7-R12,Adaptada,Zona 1
155,Baixador de Vallvidrera,BARCELONA-VALLÈS,41.4201223748916 / 2.09690425748578,,Adaptada,Zona 1
154,Les Planes,BARCELONA-VALLÈS,41.427113532662 / 2.09181623632038,,Adaptada,Zona 1
161,Rubí,BARCELONA-VALLÈS,41.4863626687696 / 2.03124575503348,,Adaptada,Zona 2
136,Les Fonts,BARCELONA-VALLÈS,41.5291725251081 / 2.03315550871263,,Adaptada,Zona 3
274,Volpelleres,BARCELONA-VALLÈS,41.4810670208014 / 2.07301648364058,R7,Adaptada,Zona 2
141,Sant Joan,BARCELONA-VALLÈS,41.4902163623658 / 2.07650701443684,,Adaptada,Zona 2
165,Terrassa Rambla,BARCELONA-VALLÈS,41.5597358963958 / 2.00753744199682,,Adaptada,Zona 3
140,Bellaterra,BARCELONA-VALLÈS,41.5004528463245 / 2.09025309733642,,Adaptada,Zona 2
139,Universitat Autònoma,BARCELONA-VALLÈS,41.5029058212188 / 2.10260758202795,,Adaptada,Zona 2
138,Sant Quirze,BARCELONA-VALLÈS,41.5300879350721 / 2.08882974114292,,Adaptada,Zona 2
137,Sabadell Estació,BARCELONA-VALLÈS,41.5425580432151 / 2.10034106779001,,Adaptada,Zona 2
145,Sabadell Rambla,BARCELONA-VALLÈS,41.5454831767246 / 2.1088347377983,,Adaptada,Zona 2
229,Monistrol-Vila,CREMALLERA DE MONTSERRAT,41.6157435983395 / 1.84389701506701,,Adaptada,No integrat
230,Monistrol de Montserrat,CREMALLERA DE MONTSERRAT,41.6098728018886 / 1.84959652195482,R5,Adaptada,No integrat
182,Monistrol de Montserrat,LLOBREGAT-ANOIA,41.6104105218394 / 1.8492737971269,CREMALLERA DE MONTSERRAT,Adaptada,Zona 4
181,Castellbell i el Vilar,LLOBREGAT-ANOIA,41.6405471136448 / 1.85481741660353,,Adaptada,Zona 5
176,Sant Vicenç-Castellgalí,LLOBREGAT-ANOIA,41.6679342898191 / 1.85959356182246,,Adaptada,Zona 5
268,Apartador Ares,MERCADERIES,41.672752183296 / 1.85950818720994,,,
180,Manresa-Viladordis,LLOBREGAT-ANOIA,41.724817326657 / 1.83397981082778,,Adaptada,Zona 6
178,Manresa-Baixador,LLOBREGAT-ANOIA,41.7314515739651 / 1.82826372368495,ESTACIO_BUS,Adaptada,Zona 6
267,Manresa-Alta,MERCADERIES,41.7321959202059 / 1.83293646558062,,,
179,Manresa-Alta,LLOBREGAT-ANOIA,41.7321959202059 / 1.83293646558062,ESTACIO_BUS,Adaptada,Zona 6
266,Sallent,MERCADERIES,41.8198281417693 / 1.89127597241692,,,
221,La Pobla de Lillet,F.T DE L'ALT LLOBREGAT-TREN DEL CIMENT,42.241342214504 / 1.96500859516061,,Adaptada,No integrat
222,La Pobla Centre,F.T DE L'ALT LLOBREGAT-TREN DEL CIMENT,42.2455727688251 / 1.97436947061699,,Adaptada,No integrat
219,Jardins Artigas,F.T DE L'ALT LLOBREGAT-TREN DEL CIMENT,42.2533536570427 / 1.9759568917589,,Adaptada,No integrat
220,Museu del Ciment-Castellar de n'Hug,F.T DE L'ALT LLOBREGAT-TREN DEL CIMENT,42.2592898629015 / 1.97716538992265,,Adaptada,No integrat
227,Ribes-Enllaç,CREMALLERA DE NÚRIA,42.3001975863507 / 2.16621028349553,R3,Adaptada,No integrat
225,Queralbs,CREMALLERA DE NÚRIA,42.3514000066702 / 2.16555304334795,,Adaptada,No integrat
245,Núria,TELECABINA DE LA COMA DEL CLOT,42.3971144062154 / 2.15515656285851,CREMALLERA DE NÚRIA,,No integrat
246,Alberg Pic de l'Aliga,TELECABINA DE LA COMA DEL CLOT,42.3921766565753 / 2.15959647356453,,,No integrat
