district,id,TOTAL,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 I més
8,56,1352,80,100,79,63,66,55,72,151,142,92,78,71,66,42,42,48,52,23,21,9
9,57,10032,579,623,470,503,610,638,776,979,910,771,683,527,417,447,355,294,238,141,51,20
9,58,2507,139,142,146,133,148,120,174,229,191,195,185,171,132,93,83,86,75,42,23,0
9,59,12589,689,861,676,567,572,622,775,1138,1335,1048,857,682,508,571,520,456,376,237,79,20
9,60,56683,2510,2703,2415,2269,2348,2946,3724,4801,4978,4183,3853,4084,3650,3623,2727,2089,1877,1227,537,139
9,61,28796,1215,1159,1017,1132,1330,1649,2025,2428,2121,2033,1946,1993,2063,1932,1488,1199,1051,671,282,62
9,62,14044,615,613,528,584,661,699,949,1128,1172,1078,1032,925,694,639,625,515,721,594,218,54
9,63,22080,872,862,898,894,986,1306,1481,1725,1659,1679,1608,1469,1301,1382,1204,940,880,599,265,70
10,64,38104,1493,1398,1294,1357,1663,2396,3100,3391,3171,2610,2645,2425,2306,2430,1992,1448,1396,999,475,115
10,65,26898,1040,1212,1145,1210,1274,1593,1957,2199,2150,2125,2042,1977,1759,1522,1107,872,819,580,261,54
10,66,14838,693,582,540,522,750,1018,1335,1517,1227,1011,1002,960,899,798,605,450,470,300,128,31
10,67,9335,493,495,535,654,536,434,504,690,746,766,926,798,589,460,281,167,134,84,29,14
10,68,33586,1803,1880,1710,1248,1216,1776,2588,3419,3628,2976,2369,1925,1507,1330,1156,926,988,753,316,72
10,69,13397,1010,907,720,483,394,494,1064,1455,1641,1222,846,630,528,526,542,380,302,161,72,20
10,70,22746,1094,1173,1002,1054,1244,1477,1714,1970,1768,1650,1670,1502,1230,872,744,798,1016,548,174,46
10,71,20369,1030,1006,827,831,984,1221,1511,1893,1755,1612,1613,1373,1091,970,764,644,666,400,147,31
10,72,26010,1068,1047,1075,1014,1124,1307,1580,2028,2119,2017,1780,1680,1439,1492,1601,1301,1213,773,281,71
10,73,28645,1071,1239,1174,1150,1314,1447,1740,2079,2221,2086,1953,1870,1684,1860,1761,1527,1335,759,309,66
