ID,Name,Line,Lat/Lon,Operator,Type,Zone
75,Granollers-Canovelles,R3,41.6113539711867 / 2.27666652611533,RENFE,RODALIES DE CATALUNYA,Zona 3
74,Granollers Centre,R2-R.2N-R11,41.5995096478962 / 2.29159208126183,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 3
19,Les Franqueses- Granollers Nord,R.2N,41.6176578949707 / 2.2944972737249,RENFE,RODALIES DE CATALUNYA,Zona 3
73,Les Franqueses del Vallès,R3,41.6297113626467 / 2.29496558333529,RENFE,RODALIES DE CATALUNYA,Zona 3
64,Cardedeu,R.2N,41.6365329513409 / 2.35603785841466,RENFE,RODALIES DE CATALUNYA,Zona 4
57,Llinars del Vallès,R.2N,41.6380237957566 / 2.40477882035807,RENFE,RODALIES DE CATALUNYA,Zona 4
72,La Garriga,R3,41.6844791488305 / 2.28864150385132,RENFE,RODALIES DE CATALUNYA,Zona 4
84,Centelles,R3,41.7994404521047 / 2.22280911482496,RENFE,RODALIES DE CATALUNYA,Zona 5
83,Balenyà-Els Hostalets,R3,41.8148170582233 / 2.23339014194397,RENFE,RODALIES DE CATALUNYA,Zona 5
69,Balenyà-Tona-Seva,R3,41.8421184199709 / 2.24749357098259,RENFE,RODALIES DE CATALUNYA,Zona 5
68,Vic,R3,41.9310830744068 / 2.24899944577576,RENFE,RODALIES DE CATALUNYA,Zona 6
60,Manlleu,R3,41.9998584383049 / 2.26910726028801,RENFE,REGIONALS,
125,Urtx-Alp,R3,42.3763517758391 / 1.89683061816954,RENFE,REGIONALS,
106,Toses,R3,42.3207343370805 / 2.01526977892546,RENFE,REGIONALS,
122,La Molina,R3,42.3444599879553 / 1.9559253959717,RENFE,REGIONALS,
123,Puigcerdà,R3,42.4288496380542 / 1.92443423249219,RENFE,REGIONALS,
59,Torelló,R3,42.0521358153165 / 2.26012358805207,RENFE,REGIONALS,
79,Sant Quirze de Besora,R3,42.1052696916934 / 2.21727409785911,RENFE,REGIONALS,
58,Borgonyà,R3,42.0647219843024 / 2.24196941761686,RENFE,REGIONALS,
81,Campdevànol,R3,42.2216328007093 / 2.16562908575014,RENFE,REGIONALS,
78,La Farga de Bebié,R3,42.1304063690214 / 2.20386180788619,RENFE,REGIONALS,
77,Ripoll,R3,42.1947952811215 / 2.19678529942235,RENFE,REGIONALS,
105,Planoles,R3,42.3140632961533 / 2.1004568436108,RENFE,REGIONALS,
80,Ribes de Freser,R3,42.298759530443 / 2.16527014105836,RENFE,REGIONALS,
50,Sant Andreu de Llavaneres,R.1,41.5553519451488 / 2.49821544222004,RENFE,RODALIES DE CATALUNYA,Zona 3
49,Caldes d'Estrac,R.1,41.5683527786593 / 2.52577537008875,RENFE,RODALIES DE CATALUNYA,Zona 3
47,Arenys de Mar,R.1,41.5773814564398 / 2.54931724524282,RENFE,RODALIES DE CATALUNYA,Zona 4
46,Canet de Mar,R.1,41.5862981509349 / 2.58050205524244,RENFE,RODALIES DE CATALUNYA,Zona 4
43,Sant Pol de Mar,R.1,41.601476932998 / 2.62408708381097,RENFE,RODALIES DE CATALUNYA,Zona 4
54,Palautordera,R.2N,41.6717765351162 / 2.45417192181694,RENFE,RODALIES DE CATALUNYA,Zona 5
51,Sant Celoni,R.2N-R11,41.6860241665012 / 2.49123944361082,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 5
52,Gualba,R.2N-R11,41.7180602762477 / 2.53904303823446,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 5
48,Riells i Viabrea-Breda,R.2N-R11,41.7263725991584 / 2.56816119028686,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 5
44,Calella,R.1,41.6146346759071 / 2.66605267966984,RENFE,RODALIES DE CATALUNYA,Zona 4
41,Pineda de Mar,R.1,41.6224782675301 / 2.69406436583196,RENFE,RODALIES DE CATALUNYA,Zona 4
40,Santa Susana,R.1,41.6302109665855 / 2.7166455546602,RENFE,RODALIES DE CATALUNYA,Zona 5
38,Malgrat de Mar,R.1,41.6416031868143 / 2.74138076104431,RENFE,RODALIES DE CATALUNYA,Zona 5
45,Hostalric,R.2N-R11,41.7478870701867 / 2.63141010779818,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 6
42,Maçanet-Massanes,R.1-R.2N-R11,41.7724990136366 / 2.67336035783648,RENFE,RODALIES DE CATALUNYA-REGIONALS,Zona 6
39,Tordera,R.1,41.7070305154983 / 2.71944036373631,RENFE,RODALIES DE CATALUNYA,Zona 5
37,Blanes,R.1,41.6735342002694 / 2.7690496193202,RENFE,RODALIES DE CATALUNYA,Zona 5
